observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF03252,2799919,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,49339,gnpis_pui:holding-921_taxon-4898_accession-49339,CF03252,VIRTUAL_TRIAL,,,,,,,,2004,7,,1,,5,,1,,3,
LM03010,2799912,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,48581,gnpis_pui:holding-921_taxon-4898_accession-48581,LM03010,VIRTUAL_TRIAL,,,,,,,,2004,8,,1,,3,,1,,6,
DI04010,2799891,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,48983,gnpis_pui:holding-921_taxon-4898_accession-48983,DI04010,VIRTUAL_TRIAL,,,,,,,,2004,7,,1,,5,,1,,1,
EM03047,2799878,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,49041,gnpis_pui:holding-921_taxon-4898_accession-49041,EM03047,VIRTUAL_TRIAL,,,,,,,,2004,7,,1,,2,,6,,1,
RE03098,2799920,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,48665,gnpis_pui:holding-921_taxon-4898_accession-48665,RE03098,VIRTUAL_TRIAL,,,,,,,,2004,"8,5",,1,,2,,1,,2,
EM03051,2799899,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,49248,gnpis_pui:holding-921_taxon-4898_accession-49248,EM03051,VIRTUAL_TRIAL,,,,,,,,2004,8,,1,,2,,1,,1,
DI04014,2799887,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,49289,gnpis_pui:holding-921_taxon-4898_accession-49289,DI04014,VIRTUAL_TRIAL,,,,,,,,2004,"7,5",,1,,5,,1,,5,
CF03269,2799897,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,48526,gnpis_pui:holding-921_taxon-4898_accession-48526,CF03269,VIRTUAL_TRIAL,,,,,,,,2004,"6,5",,1,,2,,1,,3,
CF03050,2799884,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,48545,gnpis_pui:holding-921_taxon-4898_accession-48545,CF03050,VIRTUAL_TRIAL,,,,,,,,2004,7,,1,,2,,1,,2,
EM03085,2799886,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,48696,gnpis_pui:holding-921_taxon-4898_accession-48696,EM03085,VIRTUAL_TRIAL,,,,,,,,2004,7,,1,,5,,3,,3,
EM03061,2799879,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,49443,gnpis_pui:holding-921_taxon-4898_accession-49443,EM03061,VIRTUAL_TRIAL,,,,,,,,2004,"6,5",,1,,5,,1,,1,
DI04012,2799889,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,49639,gnpis_pui:holding-921_taxon-4898_accession-49639,DI04012,VIRTUAL_TRIAL,,,,,,,,2004,"7,5",,1,,2,,1,,2,
RE03174,2799876,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,49640,gnpis_pui:holding-921_taxon-4898_accession-49640,RE03174,VIRTUAL_TRIAL,,,,,,,,2004,7,,1,,5,,1,,3,
DI04009,2799917,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,48478,gnpis_pui:holding-921_taxon-4898_accession-48478,DI04009,VIRTUAL_TRIAL,,,,,,,,2004,6,,1,,5,,1,,4,
CF03388,2799904,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,48582,gnpis_pui:holding-921_taxon-4898_accession-48582,CF03388,VIRTUAL_TRIAL,,,,,,,,2004,5,,1,,5,,3,,3,
EM03059,2799903,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,48624,gnpis_pui:holding-921_taxon-4898_accession-48624,EM03059,VIRTUAL_TRIAL,,,,,,,,2004,7,,1,,5,,1,,1,
Apache,2799896,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2004,NA,,NA,,NA,,NA,,NA,
DI04013,2799888,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,49312,gnpis_pui:holding-921_taxon-4898_accession-49312,DI04013,VIRTUAL_TRIAL,,,,,,,,2004,6,,1,,5,,1,,5,
LM03013,2799893,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,49649,gnpis_pui:holding-921_taxon-4898_accession-49649,LM03013,VIRTUAL_TRIAL,,,,,,,,2004,9,,1,,5,,1,,5,
CF03260,2799894,BTH_Rennes_200_SetB2_PIETIN-VERSE,BTH_Rennes_2004_SetB2_PIETIN-VERSE,48947,gnpis_pui:holding-921_taxon-4898_accession-48947,CF03260,VIRTUAL_TRIAL,,,,,,,,2004,"7,5",,1,,2,,2,,1,
