observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI07019itkfi,2829604,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,61759,https://doi.org/10.15454/SFPRAV,DI07019,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,137,,"10,41",,"66,3",,"99,3",,"77,6",
DI07019itkt,2829605,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,61759,https://doi.org/10.15454/SFPRAV,DI07019,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,137,,"11,23",,"63,2",,"99,9",,"85,1",
HadmF276itkt,2829591,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,133,,"10,53",,"71,9",,"108,8",,"92,7",
RE06127itkt,2829613,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,130,,"12,33",,"72,8",,"86,8",,74,
EM06089itkfi,2829578,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27815,https://doi.org/10.15454/UZYTX5,EM06089,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,136,,"12,32",,"78,9",,"84,1",,"65,7",
EM06229itkt,2829585,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,treated,2008,2,,132,,"11,94",,"76,2",,"104,3",,"88,9",
HadmF276itkfi,2829590,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,1,,132,,"10,86",,"73,7",,114,,"89,1",
RE06130itkfi,2829564,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27833,https://doi.org/10.15454/QCSBFW,RE06130,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,1,,130,,"11,52",,"71,8",,"91,3",,"71,4",
EM06110itkt,2829631,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,132,,"10,49",,"71,6",,97,,"82,6",
RE06061itkfi,2829626,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27831,https://doi.org/10.15454/BPSJCE,RE06061,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,139,,"11,06",,"73,2",,"108,3",,"84,7",
RE06127itkfi,2829612,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,1,,131,,"11,71",,"73,9",,"89,1",,"69,7",
CF06193itkfi,2829610,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27067,https://doi.org/10.15454/739FBM,CF06193,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,136,,"11,86",,"77,6",,"114,5",,"89,5",
Premioitkfi,2829560,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,134,,"10,85",,76,,"108,5",,"84,8",
RE06061itkt,2829627,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27831,https://doi.org/10.15454/BPSJCE,RE06061,VIRTUAL_TRIAL,,,,,,,,treated,2008,4,,140,,"11,23",,"71,5",,"99,5",,"84,8",
RE06055itkt,2829603,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,treated,2008,4,,139,,"12,29",,"68,8",,"82,7",,"70,4",
RE06055itkfi,2829602,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,139,,"11,7",,"69,5",,"86,6",,"67,6",
