observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Barokitkt,2797207,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2004,"98,9",,"99,6",
CF03120itkt,2797212,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,49695,gnpis_pui:holding-921_taxon-4898_accession-49695,CF03120,VIRTUAL_TRIAL,,,,,,,,treated,2004,"78,5",,79,
CF03201itkt,2797232,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2004,"82,6",,"83,2",
RE03157itkt,2797241,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,48600,https://doi.org/10.15454/MYOQSH,RE03157,VIRTUAL_TRIAL,,,,,,,,treated,2004,"88,6",,"89,2",
CF03198itkt,2797252,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,48845,gnpis_pui:holding-921_taxon-4898_accession-48845,CF03198,VIRTUAL_TRIAL,,,,,,,,treated,2004,"71,9",,"72,4",
Oratorioitkt,2797242,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"87,3",,"87,9",
EM01100.2itkt,2797240,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,49446,gnpis_pui:holding-921_taxon-4898_accession-49446,EM01100.2,VIRTUAL_TRIAL,,,,,,,,treated,2004,"89,1",,"89,7",
EM01343itkt,2797234,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,treated,2004,97,,"97,7",
LM03007itkt,2797209,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,49055,gnpis_pui:holding-921_taxon-4898_accession-49055,LM03007,VIRTUAL_TRIAL,,,,,,,,treated,2004,"82,3",,"82,8",
DI04005itkt,2797245,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,48460,gnpis_pui:holding-921_taxon-4898_accession-48460,DI04005,VIRTUAL_TRIAL,,,,,,,,treated,2004,"84,3",,"84,9",
LM03005itkt,2797214,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,49046,gnpis_pui:holding-921_taxon-4898_accession-49046,LM03005,VIRTUAL_TRIAL,,,,,,,,treated,2004,"88,2",,"88,8",
RE03119itkt,2797227,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,49242,gnpis_pui:holding-921_taxon-4898_accession-49242,RE03119,VIRTUAL_TRIAL,,,,,,,,treated,2004,"91,2",,"91,8",
CF03450itkt,2797226,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,49209,gnpis_pui:holding-921_taxon-4898_accession-49209,CF03450,VIRTUAL_TRIAL,,,,,,,,treated,2004,"88,4",,89,
RE03156itkt,2797220,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,48668,gnpis_pui:holding-921_taxon-4898_accession-48668,RE03156,VIRTUAL_TRIAL,,,,,,,,treated,2004,"84,1",,"84,7",
CF03157itkt,2797216,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,48979,gnpis_pui:holding-921_taxon-4898_accession-48979,CF03157,VIRTUAL_TRIAL,,,,,,,,treated,2004,"80,6",,"81,1",
Chargeritkt,2797233,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2004,"97,4",,"98,1",
CF03228itkt,2797231,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,49099,gnpis_pui:holding-921_taxon-4898_accession-49099,CF03228,VIRTUAL_TRIAL,,,,,,,,treated,2004,"89,3",,"89,9",
Caphornitkt,2797228,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2004,"98,5",,"99,1",
Isengrainitkt,2797250,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2004,"100,3",,101,
LM03002itkt,2797213,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,49261,gnpis_pui:holding-921_taxon-4898_accession-49261,LM03002,VIRTUAL_TRIAL,,,,,,,,treated,2004,"93,4",,94,
CF03444itkt,2797210,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,49239,gnpis_pui:holding-921_taxon-4898_accession-49239,CF03444,VIRTUAL_TRIAL,,,,,,,,treated,2004,"93,7",,"94,4",
EM01104.4itkt,2797247,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,49267,gnpis_pui:holding-921_taxon-4898_accession-49267,EM01104.4,VIRTUAL_TRIAL,,,,,,,,treated,2004,"79,2",,"79,7",
