observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE99102,2771910,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,26002,https://doi.org/10.15454/4NCDUP,RE99102,VIRTUAL_TRIAL,,,,,,,,2001,6,,5,,1,
RE00108,2771943,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,26004,https://doi.org/10.15454/6Q72BN,RE00108,VIRTUAL_TRIAL,,,,,,,,2001,5,,5,,1,
CF01002,2771931,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,49326,gnpis_pui:holding-921_taxon-4898_accession-49326,CF01002,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,5,,1,
EM00040,2771905,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,49182,gnpis_pui:holding-921_taxon-4898_accession-49182,EM00040,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,2,,1,
LM00005,2771907,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,49304,gnpis_pui:holding-921_taxon-4898_accession-49304,LM00005,VIRTUAL_TRIAL,,,,,,,,2001,7,,5,,6,
CF01003,2771930,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,49514,gnpis_pui:holding-921_taxon-4898_accession-49514,CF01003,VIRTUAL_TRIAL,,,,,,,,2001,"2,5",,5,,6,
CF00048,2771906,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,48524,gnpis_pui:holding-921_taxon-4898_accession-48524,CF00048,VIRTUAL_TRIAL,,,,,,,,2001,"4,5",,5,,3,
RE99120,2771936,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,48532,gnpis_pui:holding-921_taxon-4898_accession-48532,RE99120,VIRTUAL_TRIAL,,,,,,,,2001,4,,2,,1,
CF00012,2771927,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,48689,gnpis_pui:holding-921_taxon-4898_accession-48689,CF00012,VIRTUAL_TRIAL,,,,,,,,2001,3,,5,,1,
EM00087,2771929,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,49626,gnpis_pui:holding-921_taxon-4898_accession-49626,EM00087,VIRTUAL_TRIAL,,,,,,,,2001,4,,2,,1,
EM00088,2771904,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,48588,gnpis_pui:holding-921_taxon-4898_accession-48588,EM00088,VIRTUAL_TRIAL,,,,,,,,2001,"4,5",,2,,3,
CF99126,2771942,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,49740,gnpis_pui:holding-921_taxon-4898_accession-49740,CF99126,VIRTUAL_TRIAL,,,,,,,,2001,"6,5",,3,,1,
CF00113,2771918,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,48890,gnpis_pui:holding-921_taxon-4898_accession-48890,CF00113,VIRTUAL_TRIAL,,,,,,,,2001,"2,5",,2,,6,
Skerzzo,2771938,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,2001,2,,2,,1,
CF99077,2771912,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,26047,https://doi.org/10.15454/XORVCY,CF99077,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,2,,1,
Charger,2771922,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,
CF99351,2771914,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,2001,3,,3,,1,
CF00064,2771908,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,25898,https://doi.org/10.15454/CH5SFE,CF00064,VIRTUAL_TRIAL,,,,,,,,2001,5,,5,,1,
