observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI00016itkt,2765080,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,26859,https://doi.org/10.15454/KODDU6,DI00016,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,139,,"13,1",,"104,7",,"99,1",
CF99105itkt,2765079,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,140,,14,,"94,9",,"89,8",
RE00008itkt,2765060,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,26867,https://doi.org/10.15454/PZEUL6,RE00008,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,140,,"13,5",,"93,7",,"88,7",
EM00011itkt,2765071,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,48448,gnpis_pui:holding-921_taxon-4898_accession-48448,EM00011,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,139,,"12,8",,"92,1",,"87,2",
DI00018itkt,2765073,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,48991,gnpis_pui:holding-921_taxon-4898_accession-48991,DI00018,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,142,,"12,9",,100,,"94,6",
LM00002itkt,2765056,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,48625,gnpis_pui:holding-921_taxon-4898_accession-48625,LM00002,VIRTUAL_TRIAL,,,,,,,,treated,2000,105,,145,,"12,1",,"93,3",,"88,3",
CF00191itkt,2765084,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,25999,https://doi.org/10.15454/VRBLKL,CF00191,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,139,,"12,4",,"100,5",,"95,1",
EM00014itkt,2765067,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,49530,gnpis_pui:holding-921_taxon-4898_accession-49530,EM00014,VIRTUAL_TRIAL,,,,,,,,treated,2000,105,,146,,"14,1",,"92,3",,"87,3",
CF99175itkt,2765050,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,48961,gnpis_pui:holding-921_taxon-4898_accession-48961,CF99175,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,142,,"11,3",,"94,1",,"89,1",
Chargeritkt,2765064,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,143,,"13,8",,"91,2",,"86,3",
DI00013itkt,2765065,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,49391,gnpis_pui:holding-921_taxon-4898_accession-49391,DI00013,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,138,,"11,8",,"88,1",,"83,3",
RE99107itkt,2765085,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,48500,gnpis_pui:holding-921_taxon-4898_accession-48500,RE99107,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,140,,"11,4",,"93,5",,"88,4",
DI00017itkt,2765049,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,48960,gnpis_pui:holding-921_taxon-4898_accession-48960,DI00017,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,138,,"11,6",,"102,5",,"96,9",
CF00190itkt,2765055,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,49106,gnpis_pui:holding-921_taxon-4898_accession-49106,CF00190,VIRTUAL_TRIAL,,,,,,,,treated,2000,105,,139,,"13,6",,"98,3",,93,
Soissonsitkt,2765083,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,136,,"12,8",,"99,4",,94,
Tremieitkt,2765066,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,137,,"11,9",,"101,3",,"95,8",
EM00013itkt,2765069,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,48376,gnpis_pui:holding-921_taxon-4898_accession-48376,EM00013,VIRTUAL_TRIAL,,,,,,,,treated,2000,105,,137,,13,,"87,6",,"82,9",
Balthazaritkt,2765051,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,25537,https://doi.org/10.15454/ISHUU1,BALTHAZAR,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,143,,"12,7",,"99,4",,94,
EM00008itkt,2765053,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,49203,gnpis_pui:holding-921_taxon-4898_accession-49203,EM00008,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,140,,13,,"94,7",,"89,6",
EM00012itkt,2765068,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,49139,gnpis_pui:holding-921_taxon-4898_accession-49139,EM00012,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,144,,"13,5",,"97,9",,"92,6",
DI00012itkt,2765076,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,48428,gnpis_pui:holding-921_taxon-4898_accession-48428,DI00012,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,138,,"11,8",,"92,4",,"87,4",
RE99111itkt,2765058,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,49369,gnpis_pui:holding-921_taxon-4898_accession-49369,RE99111,VIRTUAL_TRIAL,,,,,,,,treated,2000,80,,140,,"12,3",,"93,8",,"88,8",
CF99127itkt,2765075,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,49184,gnpis_pui:holding-921_taxon-4898_accession-49184,CF99127,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,146,,"13,4",,"94,6",,"89,5",
Isengrainitkt,2765074,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,137,,"11,8",,"108,1",,"102,3",
CF99087itkt,2765086,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,49070,gnpis_pui:holding-921_taxon-4898_accession-49070,CF99087,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,141,,"13,6",,"96,7",,"91,4",
DI00011itkt,2765077,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,48371,gnpis_pui:holding-921_taxon-4898_accession-48371,DI00011,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,142,,"13,1",,"96,3",,"91,1",
Ornicaritkt,2765059,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,25609,https://doi.org/10.15454/ZUZBM9,ORNICAR,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,138,,"13,1",,"94,6",,"89,5",
RE00009itkt,2765061,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,26868,https://doi.org/10.15454/NP8MBD,RE00009,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,139,,"14,7",,"89,8",,85,
DI00015itkt,2765081,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,48998,gnpis_pui:holding-921_taxon-4898_accession-48998,DI00015,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,139,,"13,5",,"91,3",,"86,4",
EM00010itkt,2765070,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,48443,gnpis_pui:holding-921_taxon-4898_accession-48443,EM00010,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,141,,"13,1",,"90,1",,"85,3",
DI00010itkt,2765078,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,141,,"12,4",,"102,3",,"96,8",
RE99133itkt,2765057,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,49137,gnpis_pui:holding-921_taxon-4898_accession-49137,RE99133,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,140,,"11,6",,"91,3",,"86,4",
DI00014itkt,2765054,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,49133,gnpis_pui:holding-921_taxon-4898_accession-49133,DI00014,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,140,,"11,5",,"93,1",,88,
CF99106itkt,2765082,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,49192,gnpis_pui:holding-921_taxon-4898_accession-49192,CF99106,VIRTUAL_TRIAL,,,,,,,,treated,2000,100,,140,,"11,9",,"102,4",,"96,9",
RE00007itkt,2765063,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,48568,gnpis_pui:holding-921_taxon-4898_accession-48568,RE00007,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,143,,14,,"87,9",,"83,1",
RE99123itkt,2765072,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,26875,https://doi.org/10.15454/WJONCW,RE99123,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,141,,"12,7",,"93,8",,"88,7",
EM00009itkt,2765052,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,49567,gnpis_pui:holding-921_taxon-4898_accession-49567,EM00009,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,137,,"12,3",,"99,1",,"93,8",
RE00006itkt,2765062,BTH_Clermont-Ferrand_2000_SetB2,BTH_Clermont-Ferrand_2000_SetB2,48591,gnpis_pui:holding-921_taxon-4898_accession-48591,RE00006,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,139,,"12,9",,"97,7",,"92,5",
