observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2817729,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49334,https://doi.org/10.15454/YSUZEH,DI06019,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"10,82",,"93,66",
2,2817732,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49334,https://doi.org/10.15454/YSUZEH,DI06019,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"13,56",,"102,26",
1,2817731,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49334,https://doi.org/10.15454/YSUZEH,DI06019,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"11,52",,"105,64",
1,2817639,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48730,https://doi.org/10.15454/5F0PDE,RE05006,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"11,57",,"96,57",
2,2817638,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48730,https://doi.org/10.15454/5F0PDE,RE05006,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"10,71",,"94,14",
2,2817640,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48730,https://doi.org/10.15454/5F0PDE,RE05006,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"11,32",,"104,89",
1,2817637,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48730,https://doi.org/10.15454/5F0PDE,RE05006,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"10,88",,"96,92",
2,2817724,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26983,https://doi.org/10.15454/Z7JXFB,CF04046,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"10,42",,"102,92",
1,2817721,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26983,https://doi.org/10.15454/Z7JXFB,CF04046,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"9,53",,"96,57",
1,2817723,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26983,https://doi.org/10.15454/Z7JXFB,CF04046,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"10,48",,"99,97",
2,2817722,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,26983,https://doi.org/10.15454/Z7JXFB,CF04046,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"9,58",,"95,2",
1,2817669,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48619,gnpis_pui:holding-921_taxon-4898_accession-48619,RE05042,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"10,05",,"93,63",
