observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2883389,BTH_Le_Moulon_2014_SetA2,BTH_Le_Moulon_2014_SetA2,61587,https://doi.org/10.15454/TNFH4O,RE12080,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2014,"11,2",,"80,88",
1,2883391,BTH_Le_Moulon_2014_SetA2,BTH_Le_Moulon_2014_SetA2,61587,https://doi.org/10.15454/TNFH4O,RE12080,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2014,,,"91,18",
2,2883392,BTH_Le_Moulon_2014_SetA2,BTH_Le_Moulon_2014_SetA2,61587,https://doi.org/10.15454/TNFH4O,RE12080,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2014,,,"88,71",
1,2883357,BTH_Le_Moulon_2014_SetA2,BTH_Le_Moulon_2014_SetA2,49090,https://doi.org/10.15454/1VGYYS,EM12234,REPLICATION,1,,,,,,REPLICATION:1,treated,2014,"10,8",,"106,4",
1,2883355,BTH_Le_Moulon_2014_SetA2,BTH_Le_Moulon_2014_SetA2,49090,https://doi.org/10.15454/1VGYYS,EM12234,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2014,,,"92,88",
1,2883353,BTH_Le_Moulon_2014_SetA2,BTH_Le_Moulon_2014_SetA2,49090,https://doi.org/10.15454/1VGYYS,EM12234,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2014,"10,4",,"82,09",
2,2883356,BTH_Le_Moulon_2014_SetA2,BTH_Le_Moulon_2014_SetA2,49090,https://doi.org/10.15454/1VGYYS,EM12234,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2014,,,"93,28",
2,2883358,BTH_Le_Moulon_2014_SetA2,BTH_Le_Moulon_2014_SetA2,49090,https://doi.org/10.15454/1VGYYS,EM12234,REPLICATION,2,,,,,,REPLICATION:2,treated,2014,"10,9",,"105,76",
2,2883354,BTH_Le_Moulon_2014_SetA2,BTH_Le_Moulon_2014_SetA2,49090,https://doi.org/10.15454/1VGYYS,EM12234,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2014,"10,9",,"84,77",
1,2883471,BTH_Le_Moulon_2014_SetA2,BTH_Le_Moulon_2014_SetA2,48377,https://doi.org/10.15454/KP9UFC,EM12340,REPLICATION,1,,,,,,REPLICATION:1,treated,2014,"10,5",,"107,55",
