observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Premioitkfi,2846103,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,86,,52,,142,,"9,68",,"77,3",,"98,8",,63,
AO10004itkfi,2846147,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,48616,https://doi.org/10.15454/HDFKTU,AO10004,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,90,,"45,4",,147,,"8,36",,"79,9",,"104,9",,"66,8",
Hadm01221-04itkfi,2846099,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,88,,"48,4",,145,,"8,52",,"76,8",,"103,6",,66,
Soissonsitkt,2846168,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,92,,"47,8",,142,,"10,51",,"80,8",,"91,2",,"72,6",
Premioitkt,2846104,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,88,,54,,143,,10,,"77,1",,"99,6",,"79,3",
HadmF276itkt,2846158,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,87,,"54,4",,143,,"9,72",,"77,1",,"100,3",,"79,9",
Karillonitkfi,2846153,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"3,5",,88,,"44,6",,144,,"8,24",,"78,2",,"106,6",,"67,9",
Karillonitkt,2846154,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,92,,"45,9",,144,,"9,48",,79,,"101,7",,81,
HadmF276itkfi,2846157,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"3,5",,79,,53,,142,,"9,46",,"77,1",,"105,2",,"67,1",
Koreliitkt,2846132,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,96,,"50,6",,146,,"10,2",,"82,2",,"95,3",,"75,9",
Koreliitkfi,2846131,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,90,,"48,3",,145,,"9,25",,"82,1",,99,,"63,1",
AO10005itkt,2846150,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,93,,"45,2",,143,,"9,65",,"79,4",,"93,5",,"74,5",
AO10005itkfi,2846149,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,85,,"43,4",,140,,"9,09",,"79,2",,"98,1",,"62,5",
