observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO12002itkfi,2873600,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,"44,2",,145,,"10,1",,"72,3",,"89,3",,,,"68,9",,,,,,,
RE10042itkt,2873635,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,"51,1",,152,,"10,1",,"79,3",,"76,7",,,,"67,7",,,,,,1,
Lyrikitkfi,2873678,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,"52,6",,148,,"8,8",,"77,7",,"116,8",,,,"90,2",,,,,,,
AO12002itknt,2873601,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,98,,,,144,,,,"72,3",,"80,7",,1,,"65,7",,9,,NA,,1,
AO12002itkt,2873602,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,"58,1",,144,,"9,1",,"77,5",,"107,7",,,,"95,1",,,,,,1,
RE10042itkfi,2873633,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,55,,148,,10,,"78,5",,"90,1",,,,"69,6",,,,,,,
CF08027itkt,2873677,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,"50,5",,152,,"9,6",,"78,8",,"92,8",,,,"81,9",,,,,,1,
EM10126itkfi,2873615,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,55,,146,,"9,2",,73,,"92,8",,,,"71,7",,,,,,,
EM10126itkt,2873617,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,"55,1",,148,,"9,7",,"75,3",,"89,3",,,,"78,8",,,,,,1,
CF08027itknt,2873676,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,100,,,,150,,,,"78,7",,"106,4",,1,,"86,7",,"2,5",,"2,5",,1,
AO12014itkt,2873593,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,"49,9",,150,,"8,4",,"76,2",,"98,4",,,,"86,8",,,,,,1,
AO12021itknt,2873577,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,108,,,,146,,,,"78,2",,"101,7",,1,,"82,9",,1,,"3,5",,1,
CF08027itkfi,2873675,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,"50,6",,150,,"9,2",,"77,6",,"93,2",,,,"71,9",,,,,,,
EM10126itknt,2873616,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,98,,,,148,,,,"72,8",,"79,6",,1,,"64,9",,1,,4,,1,
AO13009itknt,2873589,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,98,,,,145,,,,78,,"118,1",,"2,5",,"96,2",,1,,"2,5",,1,
Gallixeitkt,2873662,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2013,78,,"42,9",,154,,"8,9",,"75,6",,"98,7",,,,"87,1",,,,,,1,
Gallixeitknt,2873661,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,85,,,,148,,,,"75,2",,"108,7",,"1,5",,"88,5",,1,,"2,5",,1,
AO12035itkt,2873632,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,"56,2",,152,,"9,2",,"80,8",,"92,5",,,,"81,6",,,,,,1,
CF10185itkfi,2873681,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,"53,1",,150,,"9,1",,"78,5",,101,,,,78,,,,,,,
CF10185itkt,2873683,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2013,92,,52,,151,,"8,9",,"78,8",,"90,1",,,,"79,6",,,,,,1,
Altigoitkfi,2873627,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,"58,1",,140,,9,,"75,5",,"100,7",,,,"77,7",,,,,,,
Gallixeitkfi,2873660,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,"43,5",,148,,"8,7",,"75,4",,"107,4",,,,"82,9",,,,,,,
Granamaxitknt,2873619,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,95,,,,148,,,,"78,2",,"120,6",,1,,"98,2",,1,,4,,1,
CF10185itknt,2873682,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,105,,,,156,,,,"79,2",,"95,8",,"1,5",,78,,1,,"4,5",,1,
Granamaxitkt,2873620,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,"57,8",,148,,"9,6",,"77,3",,"105,4",,,,93,,,,,,1,
Bermudeitkfi,2873585,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,57,,146,,"8,8",,78,,"99,3",,,,"76,7",,,,,,,
AO13007itknt,2873580,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,85,,,,147,,,,"77,4",,"103,9",,1,,"84,7",,1,,"2,5",,1,
AO13007itkt,2873581,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,treated,2013,78,,"56,6",,150,,"9,1",,"76,9",,"87,7",,,,"77,4",,,,,,1,
EM09222itkfi,2873648,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,"54,7",,142,,"8,8",,"76,5",,"113,2",,,,"87,4",,,,,,,
Granamaxitkfi,2873618,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,"58,4",,148,,"9,6",,77,,118,,,,"91,1",,,,,,,
AO12021itkt,2873578,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,"55,1",,148,,"9,3",,"78,5",,"104,4",,,,"92,2",,,,,,1,
AO12021itkfi,2873576,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,"56,8",,144,,"9,4",,"77,1",,"105,8",,,,"81,7",,,,,,,
AO13007itkfi,2873579,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,"55,4",,146,,"8,9",,"77,1",,"116,8",,,,"90,2",,,,,,,
Croustyitkt,2873638,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2013,98,,"50,5",,148,,"9,3",,"75,7",,78,,,,"68,8",,,,,,1,
AO11011itknt,2873625,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,88,,,,151,,,,"77,6",,"109,4",,1,,"89,1",,1,,3,,1,
AO13001itkfi,2873573,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,"56,2",,144,,"9,6",,"76,4",,"100,2",,,,"77,4",,,,,,,
Croustyitknt,2873637,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,105,,,,146,,,,"76,7",,"82,6",,1,,"67,3",,4,,6,,1,
Croustyitkfi,2873636,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,50,,144,,"8,6",,"77,2",,"89,1",,,,"68,8",,,,,,,
EM09320itknt,2873568,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,95,,,,148,,,,"74,4",,"97,1",,"2,5",,"79,1",,"4,5",,"3,5",,1,
AO13001itknt,2873574,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,90,,,,144,,,,"77,6",,"99,1",,"2,5",,"80,7",,1,,5,,1,
AO13001itkt,2873575,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,treated,2013,78,,"56,7",,147,,"9,8",,"77,4",,"86,5",,,,"76,4",,,,,,1,
AO11011itkt,2873626,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,"50,3",,152,,"9,6",,"78,6",,"91,6",,,,"80,9",,,,,,1,
AO11011itkfi,2873624,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,52,,150,,"9,6",,"77,8",,"107,3",,,,"82,8",,,,,,,
EM09320itkfi,2873567,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,44,,146,,"8,2",,"74,9",,"113,2",,,,"87,4",,,,,,,
EM09320itkt,2873569,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,"42,7",,149,,"8,4",,"75,2",,"93,8",,,,"82,8",,,,,,1,
CF10064itkfi,2873582,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,,,"55,7",,148,,"9,2",,77,,"102,9",,,,"79,5",,,,,,,
CF10064itkt,2873584,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2013,92,,"55,1",,149,,"9,2",,"77,8",,"101,9",,,,"89,9",,,,,,1,
Gotikitknt,2873643,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,110,,,,151,,,,79,,104,,"1,5",,"84,7",,5,,"2,5",,1,
