observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI00005,2770249,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26857,https://doi.org/10.15454/HTU2TO,DI00005,VIRTUAL_TRIAL,,,,,,,,2001,3,,"6,13",,5438,,1,
DI00016,2770262,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26859,https://doi.org/10.15454/KODDU6,DI00016,VIRTUAL_TRIAL,,,,,,,,2001,3,,"1,79",,885,,3,
CF00193,2770237,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,"7,37",,5118,,4,
CF00189,2770245,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,"3,58",,756,,1,
CF00191,2770260,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,25999,https://doi.org/10.15454/VRBLKL,CF00191,VIRTUAL_TRIAL,,,,,,,,2001,5,,"6,92",,5204,,3,
Charger,2770253,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,,NA,
Tremie,2770257,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,,NA,
DI00008,2770244,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,2001,"5,5",,"5,18",,2154,,1,
EM00018,2770255,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,"1,26",,834,,1,
EM00020,2770242,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26863,https://doi.org/10.15454/CM80JS,EM00020,VIRTUAL_TRIAL,,,,,,,,2001,"4,5",,"0,93",,701,,1,
