observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE04009itkfi,2813709,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,,,138,,"10,03",,"71,8",,"117,1",,1,,"67,9",,3,
DI05020-2itkt,2813742,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,86,,"136,5",,"12,38",,"73,4",,"109,9",,,,"72,3",,,
DI05020-2itkfi,2813741,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,,,137,,"9,72",,"77,2",,"119,4",,1,,"69,2",,2,
DI05022itkfi,2813761,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,,,"138,5",,"11,37",,"71,5",,"105,8",,1,,"61,4",,3,
DI05022itkt,2813762,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,treated,2006,86,,"137,5",,"12,56",,"70,8",,"112,4",,,,"73,9",,,
DI05004itkt,2813704,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,139,,"12,66",,"65,2",,"95,1",,,,"62,6",,,
DI05004itkfi,2813703,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,,,139,,"9,38",,"68,4",,"98,9",,1,,"57,3",,2,
DI05003-2itkfi,2813729,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,49014,https://doi.org/10.15454/UKELLG,DI05003-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,,,"138,5",,"10,44",,"73,2",,"101,5",,4,,"58,9",,4,
DI05003-2itkt,2813730,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,49014,https://doi.org/10.15454/UKELLG,DI05003-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,87,,"137,5",,"14,2",,"69,2",,"87,7",,,,"57,7",,,
DI05001-2itkfi,2813725,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,48759,https://doi.org/10.15454/YRTCHQ,DI05001-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,,,141,,"10,92",,"69,7",,98,,1,,"56,8",,3,
DI05001-2itkt,2813726,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,48759,https://doi.org/10.15454/YRTCHQ,DI05001-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,70,,"140,5",,"11,96",,"68,2",,"97,6",,,,"64,2",,,
DI05021itkfi,2813757,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,,,"137,5",,"10,29",,"75,7",,"113,3",,1,,"65,7",,2,
DI05021itkt,2813758,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,treated,2006,83,,137,,"12,13",,"74,3",,116,,,,"76,3",,,
DI05020itkfi,2813759,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,,,137,,"10,28",,"77,5",,"114,7",,1,,"66,5",,2,
DI05020itkt,2813760,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,treated,2006,86,,"136,5",,"11,73",,"75,5",,"118,2",,,,"77,8",,,
EM03332itkt,2813732,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,treated,2006,92,,"139,5",,"12,71",,"69,8",,"103,6",,,,"68,2",,,
EM03332itkfi,2813731,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,,,140,,"11,02",,"73,5",,"120,2",,1,,"69,7",,1,
DI05014itkfi,2813717,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,,,"139,5",,"10,1",,"71,8",,"106,3",,1,,"61,6",,1,
DI05014itkt,2813718,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2006,86,,139,,"12,08",,"69,6",,"96,3",,,,"63,4",,,
CF04043itkfi,2813721,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,,,"136,5",,"10,4",,"75,7",,"116,5",,1,,"67,5",,1,
CF04043itkt,2813722,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2006,92,,"136,5",,"12,16",,"74,6",,"113,3",,,,"74,5",,,
