observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Barokitknt,2805557,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,86,,1,,"136,5",,"74,3",,"110,1",,3,,"79,4",,2,
EM03193itknt,2805585,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,86,,1,,"138,5",,"76,1",,"104,5",,"2,5",,"75,4",,"3,5",
Orvantisitkt,2805616,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,133,,"79,1",,102,,,,"75,5",,,
DI04019itkt,2805582,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,137,,"77,2",,"108,4",,,,"80,2",,,
DI9714itkt,2805570,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,141,,"78,1",,"84,2",,,,"62,3",,,
Orvantisitknt,2805615,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"91,5",,1,,133,,"77,5",,"101,1",,"5,2",,73,,"6,8",
LM03014itknt,2805609,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,91,,1,,"135,5",,"74,8",,"98,6",,1,,"71,2",,"5,2",
DI04018itkt,2805584,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,"136,5",,76,,"106,6",,,,"78,9",,,
DI04018itknt,2805583,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"83,5",,1,,137,,"74,6",,"111,4",,"3,5",,"80,4",,"3,5",
DI9714itknt,2805569,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"87,5",,1,,"140,5",,"75,2",,98,,3,,"70,7",,"3,5",
EM01068itknt,2805587,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"91,5",,1,,"140,5",,"72,6",,"99,2",,1,,"71,6",,3,
DI04024itkt,2805620,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,137,,"75,9",,109,,,,"80,6",,,
EM03149itknt,2805577,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"96,5",,1,,135,,"74,2",,"100,9",,"1,5",,"72,8",,3,
EM03206itkt,2805624,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26809,https://doi.org/10.15454/NO762C,EM03206,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,140,,"80,4",,"100,7",,,,"74,5",,,
DI05030itkt,2805568,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,137,,"76,7",,"113,4",,,,"83,9",,,
EM03206itknt,2805623,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26809,https://doi.org/10.15454/NO762C,EM03206,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,91,,1,,140,,"79,9",,"109,3",,"1,5",,"78,9",,"2,8",
EM01343itkt,2805598,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,141,,"77,2",,"98,6",,,,"72,9",,,
DI05030itknt,2805567,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,87,,1,,"136,5",,"73,5",,"110,3",,"2,5",,"79,6",,4,
EM01068itkt,2805588,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,141,,"75,3",,102,,,,"75,5",,,
DI04019itknt,2805581,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,1,,"137,5",,"74,2",,"106,4",,2,,"76,8",,"3,8",
EM01343itknt,2805597,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,98,,1,,"140,5",,"74,4",,"93,3",,1,,"67,3",,"3,2",
CF03287itkt,2805606,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,137,,"79,9",,"106,8",,,,"79,1",,,
LM03017itknt,2805607,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,1,,"135,5",,"76,6",,104,,"4,5",,"75,1",,4,
EM03149itkt,2805578,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,134,,"76,8",,"98,3",,,,"72,8",,,
LM03017itkt,2805608,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,136,,"78,8",,"110,9",,,,82,,,
CF03287itknt,2805605,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"87,5",,1,,"136,5",,"79,1",,"104,4",,1,,"75,4",,"2,5",
EM03028itknt,2805561,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,93,,1,,140,,"75,4",,"99,4",,"2,8",,"71,8",,2,
LM03051itknt,2805589,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,48773,gnpis_pui:holding-921_taxon-4898_accession-48773,LM03051,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"91,5",,1,,140,,"68,1",,"84,6",,1,,61,,"5,5",
EM00264itknt,2805613,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"93,5",,"2,2",,137,,"71,6",,"94,5",,1,,"68,2",,3,
Farandoleitknt,2805593,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,88,,1,,134,,"74,6",,"110,8",,2,,80,,"2,8",
LM03051itkt,2805590,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,48773,gnpis_pui:holding-921_taxon-4898_accession-48773,LM03051,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,140,,"71,5",,91,,,,"67,4",,,
EM00264itkt,2805614,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,136,,75,,"100,1",,,,74,,,
EM03028itkt,2805562,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,"140,5",,"77,2",,"101,9",,,,"75,4",,,
CF03342itkt,2805602,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,"140,5",,"77,3",,"95,9",,,,71,,,
DI04024itknt,2805619,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,89,,1,,136,,"74,6",,"110,3",,1,,"79,6",,"2,5",
LM03001itkt,2805564,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,141,,"70,8",,"86,9",,,,"64,3",,,
CF03226itkt,2805580,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,"136,5",,"75,6",,"103,7",,,,"76,7",,,
CF03226itknt,2805579,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"91,5",,1,,136,,"73,6",,"105,8",,1,,"76,3",,"2,5",
LM03001itknt,2805563,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"93,5",,1,,141,,"68,8",,"91,4",,"5,2",,"65,9",,"2,5",
CF03341itkt,2805600,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26799,https://doi.org/10.15454/PNFUBY,CF03341,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,141,,"79,4",,"109,3",,,,"80,9",,,
Apacheitknt,2805603,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"92,5",,1,,"132,5",,77,,"95,2",,1,,"68,7",,"6,8",
CF03341itknt,2805599,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26799,https://doi.org/10.15454/PNFUBY,CF03341,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,86,,1,,"140,5",,"77,2",,"100,5",,1,,"72,5",,"4,2",
EM00107itkt,2805572,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,"138,5",,"77,9",,"106,1",,,,"78,5",,,
CF03342itknt,2805601,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,81,,1,,140,,"76,4",,"99,2",,"2,5",,"71,6",,"3,8",
Apacheitkt,2805604,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,"132,5",,78,,"98,9",,,,"73,2",,,
EM03041itkt,2805560,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,141,,"76,2",,"99,7",,,,"73,8",,,
LM03022itkt,2805566,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,48608,gnpis_pui:holding-921_taxon-4898_accession-48608,LM03022,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,"139,5",,"75,8",,"89,3",,,,"66,1",,,
EM03041itknt,2805559,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"78,5",,1,,140,,"73,2",,"88,7",,2,,64,,"4,5",
DI04015itknt,2805575,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,91,,1,,134,,"72,6",,"98,5",,2,,71,,"4,2",
EM03193itkt,2805586,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,"139,5",,"78,4",,"112,3",,,,"83,1",,,
LM03022itknt,2805565,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,48608,gnpis_pui:holding-921_taxon-4898_accession-48608,LM03022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"89,5",,1,,"139,5",,"75,9",,"96,9",,"2,5",,"69,9",,"4,5",
Farandoleitkt,2805594,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,133,,75,,"103,3",,,,"76,4",,,
DI04015itkt,2805576,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,"133,5",,"76,8",,"101,8",,,,"75,3",,,
DI04017itkt,2805574,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,"136,5",,"78,1",,106,,,,"78,5",,,
Skerzzoitkt,2805618,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,137,,"80,8",,"97,8",,,,"72,4",,,
Barokitkt,2805558,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2005,,,,,"137,5",,78,,111,,,,"82,1",,,
LM03015itknt,2805611,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"84,5",,1,,139,,75,,102,,2,,"73,6",,"3,2",
Skerzzoitknt,2805617,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,95,,1,,137,,80,,"101,7",,"2,2",,"73,4",,"3,2",
