observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE05008itkfi,2816426,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49422,https://doi.org/10.15454/9VMAGV,RE05008,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"48,9",,"146,5",,"10,4",,"65,2",,"102,4",,"85,8",,NA,
DI06008itkt,2816497,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49044,gnpis_pui:holding-921_taxon-4898_accession-49044,DI06008,VIRTUAL_TRIAL,,,,,,,,treated,2006,72,,"44,1",,"148,5",,"12,18",,"73,4",,"93,1",,100,,,
RE05050itkt,2816471,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,"45,7",,144,,"12,72",,"68,2",,"98,2",,"105,4",,,
CF05089itkt,2816431,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49702,gnpis_pui:holding-921_taxon-4898_accession-49702,CF05089,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,"46,1",,"145,5",,"12,4",,"73,2",,"92,5",,"99,3",,,
CF05079itkt,2816487,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,"47,8",,144,,"11,63",,76,,"97,8",,105,,,
RE05005itkt,2816429,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,"50,9",,143,,"12,1",,"70,2",,"101,6",,"109,1",,,
Apacheitkt,2816461,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,"45,4",,142,,"11,6",,"73,5",,"96,6",,"103,7",,,
RE05005itkfi,2816428,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,"44,5",,145,,"10,72",,"68,4",,"110,8",,"92,8",,2,
Apacheitkfi,2816460,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"43,5",,142,,"9,88",,"72,4",,"99,5",,"83,4",,7,
CF05079itkfi,2816486,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,"47,5",,144,,"10,9",,"74,2",,"97,4",,"81,6",,2,
