observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
EM08231itkt,2852786,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2010,22,,98,,91,,55,,69,,215,,62,,"0,63",,202,,15,,NA,,"11,2",,"77,8",,1770,,NA,
DI09006itkt,2852806,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,treated,2010,"24,1",,118,,91,,36,,61,,188,,40,,"0,34",,134,,17,,365,,"11,8",,NA,,1580,,"21,5",
RE07019itkt,2852789,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,8",,64,,91,,14,,61,,166,,73,,"1,14",,196,,61,,390,,"11,6",,NA,,1358,,"32,5",
Folkloritkt,2852785,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,5",,62,,97,,"35,9",,76,,"208,9",,90,,"1,45",,224,,"61,5",,378,,"11,8",,NA,,1595,,40,
RE09063itkt,2852801,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2010,"26,7",,144,,91,,79,,88,,258,,38,,"0,26",,157,,77,,NA,,"10,9",,"75,8",,1950,,NA,
RE09079itkt,2852782,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,treated,2010,"25,6",,132,,94,,71,,90,,255,,52,,"0,39",,208,,60,,NA,,"11,9",,"75,7",,1873,,NA,
RE09009itkt,2852812,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,treated,2010,"25,2",,128,,91,,67,,69,,227,,33,,"0,26",,111,,14,,NA,,"11,3",,"76,3",,1810,,NA,
EM09003itkt,2852784,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2010,"24,5",,121,,82,,40,,75,,197,,69,,"0,57",,212,,78,,NA,,"10,7",,81,,1325,,NA,
RE09073itkt,2852809,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,treated,2010,"24,7",,123,,91,,69,,93,,253,,54,,"0,44",,193,,43,,NA,,"11,5",,"75,3",,1963,,NA,
EM08019itkt,2852823,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,3",,84,,94,,68,,65,,227,,51,,"0,61",,121,,56,,331,,"11,3",,NA,,1735,,"23,5",
DI10001itkt,2852818,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,treated,2010,"24,9",,125,,91,,71,,75,,237,,39,,"0,31",,134,,71,,NA,,"11,7",,79,,1553,,NA,
Apacheitkt,2852803,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,"25,9",,136,,94,,"60,5",,96,,"250,5",,52,,"0,39",,190,,56,,408,,"11,8",,NA,,1705,,49,
Toisondoritkt,2852795,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,"13,2",,35,,79,,6,,51,,136,,69,,"1,97",,107,,"60,5",,403,,"11,4",,NA,,1123,,"33,5",
Flamenkoitkt,2852816,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,7",,79,,100,,77,,88,,265,,88,,"1,13",,226,,65,,367,,"11,3",,NA,,1715,,34,
Lyrikitkt,2852840,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,1",,59,,100,,"49,1",,94,,"243,1",,90,,"1,53",,214,,55,,374,,"11,1",,NA,,1519,,"37,5",
