observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF04076itknt,2819795,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,90,,,,130,,,,"59,1",,"92,6",,5,,"69,4",,1,,1,
RE05108itkt,2819871,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,traité,2007,85,,"43,6",,128,,"11,72",,"71,4",,"98,3",,,,103,,,,"2,5",
RE05108itkfi,2819869,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"40,9",,"127,5",,"9,84",,71,,"109,5",,"1,5",,"84,3",,1,,,
Hendrixitkt,2819793,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,"49,9",,129,,"10,88",,"76,4",,"95,3",,,,"99,8",,,,1,
Hendrixitknt,2819792,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,95,,,,130,,,,"72,2",,"117,5",,1,,"88,1",,1,,1,
RE03111itknt,2819873,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"77,5",,,,130,,,,"58,4",,"81,8",,5,,"61,3",,2,,1,
Caphornitkt,2819841,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,traité,2007,80,,"50,6",,124,,"11,2",,"69,7",,"98,2",,,,"102,8",,,,1,
AO05001itkt,2819808,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,traité,2007,"82,5",,52,,"118,5",,"11,37",,"70,8",,"101,5",,,,"106,3",,,,4,
Caphornitknt,2819840,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"77,5",,,,"124,5",,,,"64,4",,"114,4",,"2,5",,"85,7",,1,,1,
RE03111itkfi,2819872,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,"41,6",,128,,"10,4",,"62,7",,"89,9",,"3,5",,"69,2",,1,,,
Hendrixitkfi,2819791,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,"48,6",,127,,"9,54",,"75,7",,108,,1,,"83,1",,1,,,
Caphornitkfi,2819839,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"77,5",,"46,4",,"123,5",,"9,94",,"67,2",,"108,8",,"1,5",,"83,8",,1,,,
DI04017itkt,2819835,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,"54,8",,130,,"12,69",,"68,7",,"94,8",,,,"99,2",,,,1,
AO05001itknt,2819807,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"82,5",,,,"119,5",,,,"61,5",,107,,8,,"80,2",,2,,2,
RE05091itkt,2819823,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,traité,2007,"87,5",,"45,9",,"127,5",,"11,68",,"70,9",,"108,9",,,,"114,1",,,,1,
RE05091itknt,2819822,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"82,5",,,,"125,5",,,,"64,5",,"103,8",,4,,"77,8",,1,,1,
RE05091itkfi,2819821,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,"42,5",,"124,5",,"9,36",,"66,2",,101,,2,,"77,8",,1,,,
DI04024itkt,2819877,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,traité,2007,80,,"50,5",,"129,5",,"10,58",,"71,4",,"101,3",,,,"106,1",,,,1,
DI04018itkfi,2819815,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,"44,2",,128,,"9,65",,"69,2",,"99,4",,2,,"76,6",,1,,,
RE03111itkt,2819874,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,traité,2007,75,,"53,8",,128,,"11,76",,"66,6",,"93,4",,,,"97,8",,,,1,
DI04024itkfi,2819875,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,"44,2",,"128,5",,"9,02",,"69,1",,"100,1",,"3,5",,77,,1,,,
Apacheitknt,2819828,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"77,5",,,,123,,,,"59,8",,"93,8",,"6,5",,"70,3",,1,,1,
Apacheitkfi,2819827,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,"42,6",,"122,5",,"9,62",,72,,97,,6,,"74,7",,1,,,
DI04018itkt,2819817,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,traité,2007,"87,5",,"52,1",,"129,5",,"11,68",,"69,9",,"93,8",,,,"98,2",,,,1,
DI04018itknt,2819816,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"87,5",,,,130,,,,"61,7",,"99,4",,3,,"74,5",,1,,1,
