observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08011itkt,2835373,BTH_Le_Moulon_2008_TECH,BTH_Le_Moulon_2008_TECH,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,29,,NA,,"95,5",,NA,,"224,5",,NA,,NA,,NA,,50,,360,,"11,3",,"81,2",,NA,,1300,,NA,
HadmF276itkt,2835333,BTH_Le_Moulon_2008_TECH,BTH_Le_Moulon_2008_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2008,"17,8",,64,,94,,NA,,54,,NA,,93,,NA,,241,,NA,,92,,"1,44",,212,,54,,388,,"12,4",,NA,,1694,,NA,,39,
RE07004itkt,2835361,BTH_Le_Moulon_2008_TECH,BTH_Le_Moulon_2008_TECH,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"27,5",,NA,,"80,5",,NA,,208,,NA,,NA,,NA,,58,,422,,"12,8",,"81,4",,NA,,1300,,NA,
Barokitkt,2835331,BTH_Le_Moulon_2008_TECH,BTH_Le_Moulon_2008_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2008,"20,5",,85,,94,,NA,,63,,NA,,79,,NA,,236,,NA,,60,,"0,71",,144,,69,,423,,"11,1",,80,,1633,,NA,,31,
RE07083itkt,2835381,BTH_Le_Moulon_2008_TECH,BTH_Le_Moulon_2008_TECH,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"23,75",,NA,,"63,38",,NA,,"187,13",,NA,,NA,,NA,,24,,341,,"11,1",,"80,2",,NA,,900,,NA,
RE07025itkt,2835362,BTH_Le_Moulon_2008_TECH,BTH_Le_Moulon_2008_TECH,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"29,75",,NA,,"76,5",,NA,,"206,25",,NA,,NA,,NA,,70,,365,,"11,9",,"80,2",,NA,,1350,,NA,
CF07097itkt,2835348,BTH_Le_Moulon_2008_TECH,BTH_Le_Moulon_2008_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,97,,NA,,"30,5",,NA,,87,,NA,,"214,5",,NA,,NA,,NA,,20,,367,,"11,5",,"79,2",,NA,,1400,,NA,
CF05173itkt,2835366,BTH_Le_Moulon_2008_TECH,BTH_Le_Moulon_2008_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2008,"19,7",,79,,94,,NA,,70,,NA,,94,,NA,,258,,NA,,78,,1,,220,,15,,368,,"11,8",,NA,,1615,,NA,,30,
CF05079itkt,2835359,BTH_Le_Moulon_2008_TECH,BTH_Le_Moulon_2008_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2008,"16,1",,53,,94,,NA,,82,,NA,,87,,NA,,263,,NA,,125,,"2,4",,258,,57,,392,,"11,9",,NA,,1819,,NA,,48,
CF07008itkt,2835385,BTH_Le_Moulon_2008_TECH,BTH_Le_Moulon_2008_TECH,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,97,,NA,,"28,7",,NA,,82,,NA,,"207,7",,NA,,NA,,NA,,39,,329,,"11,9",,"81,4",,NA,,1390,,NA,
