observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Koreliitkfi,2850052,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,143,,"84,8",,"99,5",,1,,"89,4",,1,,1,
CF09030itkfi,2850049,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,48471,gnpis_pui:holding-921_taxon-4898_accession-48471,CF09030,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,139,,"78,8",,"103,8",,"1,5",,"93,3",,1,,1,
CF09117itkfi,2850050,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,141,,"80,2",,"95,5",,"1,5",,"85,8",,1,,1,
AO10013itkfi,2850047,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,141,,"78,8",,102,,"2,5",,"91,7",,1,,1,
RE09002itkfi,2850057,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,49618,https://doi.org/10.15454/L6UK54,RE09002,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,142,,"81,1",,"90,7",,1,,"81,5",,1,,1,
DI10001itkfi,2850062,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,94,,143,,"82,1",,"101,2",,1,,91,,1,,1,
Apacheitkfi,2850054,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,141,,"81,4",,"101,5",,3,,"91,2",,1,,1,
AO10015itkfi,2850037,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,98,,140,,"82,6",,"86,4",,NA,,"77,6",,7,,1,
EM09015itkfi,2850046,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,142,,"82,4",,105,,"2,5",,"94,3",,1,,1,
RE09010itkfi,2850044,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,48540,https://doi.org/10.15454/82RKSJ,RE09010,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,98,,145,,"76,6",,"104,2",,1,,"93,7",,1,,1,
Premioitkfi,2850041,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,140,,"80,6",,"100,6",,1,,"90,4",,1,,1,
CF09093itkfi,2850053,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,49525,gnpis_pui:holding-921_taxon-4898_accession-49525,CF09093,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,139,,"80,9",,"96,1",,"2,5",,"86,4",,1,,1,
AO10010itkfi,2850076,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,49024,gnpis_pui:holding-921_taxon-4898_accession-49024,AO10010,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,142,,"80,4",,"97,1",,"1,5",,"87,2",,1,,1,
CF09027itkfi,2850069,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,141,,"82,4",,"104,6",,2,,94,,2,,1,
AO10014itkfi,2850038,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,49697,gnpis_pui:holding-921_taxon-4898_accession-49697,AO10014,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,141,,"80,9",,"76,1",,"2,5",,"68,4",,1,,1,
RE09009itkfi,2850059,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,95,,142,,"77,4",,"104,5",,1,,94,,1,,1,
DI10003itkfi,2850063,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,48505,gnpis_pui:holding-921_taxon-4898_accession-48505,DI10003,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,95,,145,,83,,"91,5",,1,,"82,2",,1,,1,
EM09003itkfi,2850043,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,142,,"82,6",,"100,1",,"3,5",,90,,2,,1,
RE09030itkfi,2850039,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,49497,gnpis_pui:holding-921_taxon-4898_accession-49497,RE09030,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,146,,"80,2",,"78,8",,1,,"70,8",,1,,1,
EM09080itkfi,2850070,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,87,,146,,"81,4",,"99,8",,2,,"89,7",,1,,1,
CF09075itkfi,2850055,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,48642,gnpis_pui:holding-921_taxon-4898_accession-48642,CF09075,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,101,,141,,82,,"87,8",,"1,5",,"78,9",,1,,1,
EM09021itkfi,2850040,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,48576,gnpis_pui:holding-921_taxon-4898_accession-48576,EM09021,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,130,,"82,7",,"86,1",,"2,5",,"77,3",,2,,1,
CF09081itkfi,2850074,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,49444,gnpis_pui:holding-921_taxon-4898_accession-49444,CF09081,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,138,,"82,6",,"87,2",,"2,5",,"78,4",,"1,5",,1,
CF09077itkfi,2850056,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,49152,gnpis_pui:holding-921_taxon-4898_accession-49152,CF09077,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,140,,"82,9",,"88,7",,2,,"79,7",,2,,1,
DI10002itkfi,2850064,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,48382,gnpis_pui:holding-921_taxon-4898_accession-48382,DI10002,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,146,,"78,1",,"104,1",,1,,"93,5",,1,,1,
Attlassitkfi,2850068,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,142,,"81,8",,"101,4",,1,,"91,1",,1,,1,
CF09085itkfi,2850073,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,49657,gnpis_pui:holding-921_taxon-4898_accession-49657,CF09085,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,140,,"81,6",,"96,3",,1,,"86,5",,3,,1,
EM09189itkfi,2850075,BTH_Rennes_2010_SetB1,BTH_Rennes_2010_SetB1,49252,https://doi.org/10.15454/LVMRPV,EM09189,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,142,,"80,7",,99,,1,,89,,1,,1,
