observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
AO13044itkfi,2878912,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61303,https://doi.org/10.15454/O5PDFN,AO13044,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,156,,"10,8",,"72,7",,"104,9",,"85,5",,"3,8",
EM12340itkfi,2878954,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,48377,https://doi.org/10.15454/KP9UFC,EM12340,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,76,,155,,"11,6",,"71,6",,"105,1",,"85,8",,"4,5",
AO13044itkt,2878913,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61303,https://doi.org/10.15454/O5PDFN,AO13044,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,157,,"11,8",,"69,6",,"100,5",,"105,4",,,
CF12352itkt,2878941,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61703,https://doi.org/10.15454/NAJGZ1,CF12352,VIRTUAL_TRIAL,,,,,,,,treated,2013,79,,152,,12,,"77,3",,"97,7",,"102,5",,,
DI13006itkt,2878903,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49207,https://doi.org/10.15454/DM26Q1,DI13006,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,154,,"10,7",,"72,8",,"100,3",,"105,2",,,
AO13029itkfi,2878890,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,79,,154,,"11,1",,74,,"107,6",,"87,8",,"5,8",
RE12073itkfi,2878932,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,96,,154,,"10,6",,"75,5",,"113,6",,"92,6",,"2,2",
CF12352itkfi,2878940,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61703,https://doi.org/10.15454/NAJGZ1,CF12352,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,154,,11,,"69,8",,"99,7",,"81,3",,7,
AO13029itkt,2878891,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,154,,"11,6",,"77,8",,"105,2",,"110,4",,,
AO13047itkfi,2878906,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,156,,"10,9",,"76,1",,"115,3",,94,,"2,5",
