observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI10006,2851228,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,2010,4,,2,,1,,3,
DI10007,2851227,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,2010,5,,2,,1,,1,
RE09055,2851236,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,2010,9,,5,,1,,1,
Barok,2851197,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2010,5,,5,,3,,3,
CF09182,2851211,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,2010,"5,5",,2,,3,,1,
CF09176,2851226,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,2010,"4,5",,2,,NA,,8,
Premio,2851201,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,5,,1,,1,
RE09038,2851203,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49325,gnpis_pui:holding-921_taxon-4898_accession-49325,RE09038,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,2,,4,,1,
CF09164,2851208,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49662,gnpis_pui:holding-921_taxon-4898_accession-49662,CF09164,VIRTUAL_TRIAL,,,,,,,,2010,5,,2,,3,,1,
RE09033,2851235,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48510,gnpis_pui:holding-921_taxon-4898_accession-48510,RE09033,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,2,,2,,1,
