observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI05004itkfi,2807122,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"88,5",,1,,"139,5",,"66,4",,"102,5",,3,,"71,3",,"1,5",
Farandoleitkfi,2807106,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,1,,136,,"69,2",,"106,4",,"1,5",,74,,"3,2",
DI05002itkfi,2807124,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48966,gnpis_pui:holding-921_taxon-4898_accession-48966,DI05002,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,1,,137,,"71,2",,"100,4",,"1,5",,"69,8",,"6,2",
CF04004itkfi,2807093,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49316,gnpis_pui:holding-921_taxon-4898_accession-49316,CF04004,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"92,5",,1,,"140,5",,"69,6",,"91,8",,"4,2",,"63,8",,"3,5",
RE04012itkfi,2807107,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49147,gnpis_pui:holding-921_taxon-4898_accession-49147,RE04012,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,1,,137,,"68,2",,"100,5",,"1,5",,"69,9",,3,
CF04215itkfi,2807115,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49236,gnpis_pui:holding-921_taxon-4898_accession-49236,CF04215,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,89,,1,,142,,"71,7",,"92,5",,4,,"64,3",,2,
RE04009itkfi,2807092,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"92,5",,1,,140,,"68,6",,"105,4",,1,,"73,3",,3,
RE03099itkfi,2807128,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48737,gnpis_pui:holding-921_taxon-4898_accession-48737,RE03099,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,1,,"139,5",,"73,2",,"95,4",,1,,"66,3",,3,
LM04010itkfi,2807095,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48743,gnpis_pui:holding-921_taxon-4898_accession-48743,LM04010,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,1,,139,,"68,6",,92,,2,,64,,5,
DI05010itkfi,2807098,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49551,gnpis_pui:holding-921_taxon-4898_accession-49551,DI05010,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,86,,1,,142,,"64,2",,"77,6",,1,,"53,9",,"5,2",
