observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Barokitkt,2848114,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,95,,"48,4",,144,,"9,57",,"78,8",,102,,"80,3",
Attlassitkfi,2848163,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,88,,"48,3",,143,,"9,41",,"78,1",,"107,3",,67,
CF08029itkt,2848174,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27796,https://doi.org/10.15454/9MSP5Q,CF08029,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,93,,"52,2",,140,,"10,28",,"77,8",,"106,5",,"83,9",
EM08277itkfi,2848179,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27824,https://doi.org/10.15454/OUS6AU,EM08277,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,86,,46,,144,,"10,05",,"75,4",,"96,4",,"60,2",
CF08029itkfi,2848173,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27796,https://doi.org/10.15454/9MSP5Q,CF08029,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,86,,"51,6",,138,,"9,75",,"77,6",,"103,6",,"64,7",
CF08127itkfi,2848165,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,90,,"45,2",,145,,"9,26",,"78,4",,"99,3",,62,
Attlassitkt,2848164,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,95,,"48,4",,144,,"9,68",,"79,4",,"103,8",,"81,8",
CF08127itkt,2848166,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,97,,"46,4",,146,,"9,68",,"79,4",,"98,4",,"77,5",
CF08084itkfi,2848159,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,89,,"50,8",,145,,"8,64",,"78,2",,"107,7",,"67,3",
CF08137itkt,2848130,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27312,https://doi.org/10.15454/CPWBIX,CF08137,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,94,,"46,1",,144,,"10,38",,"79,1",,"95,7",,"75,4",
