observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO11007,2859025,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61304,https://doi.org/10.15454/AKFYIH,AO11007,VIRTUAL_TRIAL,,,,,,,,2011,2,,1,,5,,9,,6,
AO11004,2859039,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61255,https://doi.org/10.15454/K4DPBH,AO11004,VIRTUAL_TRIAL,,,,,,,,2011,7,,1,,2,,NA,,9,
AO11006,2859036,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61287,https://doi.org/10.15454/IAPJBN,AO11006,VIRTUAL_TRIAL,,,,,,,,2011,4,,1,,3,,6,,6,
EM10073,2859057,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61430,https://doi.org/10.15454/D1HODW,EM10073,VIRTUAL_TRIAL,,,,,,,,2011,4,,6,,5,,5,,1,
EM10126,2859030,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,2011,4,,1,,5,,8,,1,
EM10200,2859027,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61465,https://doi.org/10.15454/ZSWLMK,EM10200,VIRTUAL_TRIAL,,,,,,,,2011,"3,5",,6,,2,,3,,1,
EM10207,2859028,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61482,https://doi.org/10.15454/JRYQUW,EM10207,VIRTUAL_TRIAL,,,,,,,,2011,3,,1,,5,,7,,1,
EM10241,2859044,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61497,https://doi.org/10.15454/QKODQJ,EM10241,VIRTUAL_TRIAL,,,,,,,,2011,3,,6,,5,,8,,1,
RE10023,2859056,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61762,https://doi.org/10.15454/8GWGBG,RE10023,VIRTUAL_TRIAL,,,,,,,,2011,6,,1,,5,,2,,1,
RE10016,2859026,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61745,https://doi.org/10.15454/AARTBC,RE10016,VIRTUAL_TRIAL,,,,,,,,2011,3,,1,,5,,4,,4,
CF10004,2859024,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61819,https://doi.org/10.15454/I9UAH6,CF10004,VIRTUAL_TRIAL,,,,,,,,2011,6,,4,,3,,6,,4,
RE10029,2859053,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61778,https://doi.org/10.15454/SF5TC7,RE10029,VIRTUAL_TRIAL,,,,,,,,2011,4,,3,,5,,2,,1,
RE10049,2859050,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61852,https://doi.org/10.15454/XFAO7S,RE10049,VIRTUAL_TRIAL,,,,,,,,2011,5,,1,,5,,3,,1,
CF10016,2859052,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61850,https://doi.org/10.15454/WEJGW3,CF10016,VIRTUAL_TRIAL,,,,,,,,2011,"3,5",,4,,5,,8,,1,
CF10011,2859049,BTH_Rennes_2011_SetB1_PIETIN-VERSE,BTH_Rennes_2011_SetB1_PIETIN-VERSE,61834,https://doi.org/10.15454/YFSHA8,CF10011,VIRTUAL_TRIAL,,,,,,,,2011,3,,1,,5,,8,,2,
