,experimental_factor_type,experimental_factor_value
0,Drought,irr
1,Drought,IRR
2,Drought,r
3,Drought,RAIN
4,Fungicide,F1
5,Insecticide,In1
6,Irrigation,Ir1
7,Weeding,W1
