"Lot Number";"Accession Number";"Accession Name";"itk";"Trial Name";"Trial Site";"X(m)";"Y(m)";"Campaign";"GDD";"rdt: Grain yield at 0% humidity ";"Date [rdt]";"r: Yield";"Date [r]";"prec: Earliness at earing";"Date [prec]";"ps: Test weight";"Date [ps]";"ht: Height";"Date [ht]";"prot: Grain protein concentration";"Date [prot]";"rb: Susceptibility to leaf rust";"Date [rb]";"sept: Septoria score";"Date [sept]";"vr: Lodging score";"Date [vr]";"rj: Yellow rust score";"Date [rj]";"oid: Powdey mildew score";"Date [oid]";"pmg: Thousand grain weight at 0% humidity";"Date [pmg]"
"DI13005";"39310";"DI13005";"traite";"BTH_Champagne-céréales_2015_SetA1";"Champagne-céréales";"";"";"2015";"";"90.6";"";"96.9";"";"145";"";"78";"";"";"";"10.87";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO13047";"39291";"AO13047";"non traite fongicides";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"92.8";"";"109.2";"";"";"";"80.3";"";"";"";"";"";"4";"";"4";"";"";"";"1";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"non traite fongicides";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"90.16";"";"106.1";"";"";"";"80.9";"";"";"";"";"";"1";"";"4";"";"";"";"1";"";"";"";"";""
"EM11537";"37829";"EM11537";"traite";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"115.3";"";"96.7";"";"140";"";"82.9";"";"94";"";"10.5";"";"";"";"";"";"1";"";"";"";"";"";"48.3";""
"CF13187";"CF13187";"CF13187";"faible intrant";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"95.2";"";"112.4";"";"134";"";"75.1";"";"92";"";"";"";"2.5";"";"3";"";"";"";"1";"";"";"";"";""
"AO14026";"AO14026";"AO14026";"faible intrant";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"107";"";"107.7";"";"147";"";"78.6";"";"";"";"10.7";"";"3.5";"";"4.5";"";"5";"";"1";"";"";"";"";""
"RE13004";"39433";"RE13004";"non traite fongicides";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"103.9";"";"99.8";"";"144";"";"";"";"";"";"";"";"3.5";"";"4";"";"6.5";"";"1.5";"";"";"";"";""
"AO14022";"AO14022";"AO14022";"non traite fongicides";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"117.9";"";"116.6";"";"144";"";"";"";"102";"";"";"";"1.8";"";"3";"";"";"";"1.5";"";"";"";"";""
"CF13158";"CF13158";"CF13158";"traite";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"120.5";"";"98";"";"138";"";"";"";"92";"";"10.2";"";"";"";"";"";"";"";"";"";"";"";"";""
"Granamax";"37231";"GRANAMAX";"non traite fongicides";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"98.8";"";"97.7";"";"138";"";"";"";"91";"";"";"";"2.5";"";"2.8";"";"";"";"2.5";"";"";"";"";""
"AO15027";"AO15027";"AO15027";"faible intrant";"BTH_Estrées-Mons_2015_SetB1";"Estrées-Mons";"";"";"2015";"";"105.4";"";"106";"";"137";"";"79.5";"";"";"";"10.9";"";"4.5";"";"5.5";"";"4";"";"1";"";"";"";"";""
"AREZZO";"32759";"AREZZO";"faible intrant";"BTH_Estrées-Mons_2015_SetB1";"Estrées-Mons";"";"";"2015";"";"97.2";"";"97.7";"";"138";"";"82.8";"";"";"";"11.3";"";"8";"";"5";"";"6";"";"1";"";"";"";"";""
"RE14007";"RE14007";"RE14007";"";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"CF14300";"CF14300";"CF14300";"traite";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"110.9";"";"95.8";"";"144";"";"81.5";"";"";"";"11.8";"";"";"";"";"";"6.5";"";"";"";"";"";"";""
"DI15009";"DI15009";"DI15009";"faible intrant";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"108.1";"";"111.5";"";"140";"";"80.5";"";"";"";"11.5";"";"3";"";"7";"";"4.5";"";"1.5";"";"";"";"";""
"EM14097";"EM14097";"EM14097";"traite";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"82.8";"";"99.2";"";"148";"";"70.8";"";"80";"";"11.2";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM14205";"EM14205";"EM14205";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"94.3";"";"98.3";"";"144";"";"";"";"88";"";"10.2";"";"1";"";"2.8";"";"";"";"1.5";"";"";"";"";""
"AO15017";"AO15017";"AO15017";"faible intrant";"BTH_Rennes_2015_SetB3";"Rennes";"";"";"2015";"";"78.3";"";"91.9";"";"142";"";"75.9";"";"95";"";"";"";"1.5";"";"3";"";"1";"";"5.5";"";"";"";"";""
"AO13015";"AO13015";"AO13015";"non traite fongicides";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"90.2";"";"106.1";"";"";"";"76.9";"";"";"";"";"";"6";"";"4";"";"";"";"1";"";"";"";"";""
"AO13100";"AO13100";"AO13100";"faible intrant";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"77.3";"";"77.6";"";"142";"";"76.8";"";"";"";"11.4";"";"NA";"";"NA";"";"4";"";"9";"";"";"";"";""
"CELLULE";"36658";"CELLULE";"non traite fongicides";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"108.4";"";"103.7";"";"134";"";"";"";"96";"";"";"";"5.5";"";"2.8";"";"1";"";"1.8";"";"";"";"";""
