,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L8,L10,L12,W8,W10,W12,L9,L11,L13,W9,W11,W13,L14,W14,Check
0,WD3139,3352340,Deb13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD3139,,31.0,13.0,"REPLICATE>BLOCK>PLOT:WD3139,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:3",rainfed,2236.0487401007,261.6447529412,"77,8867322419","77,8867322419",5.8505042017,219,270,100,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,WD2087,3351992,Deb13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD2087,,17.0,3.0,"REPLICATE>BLOCK>PLOT:WD2087,REPLICATE>BLOCK:5,REPLICATE:2",rainfed,3166.5852184411,240.22272,"77,8867322419","77,8867322419",7.6068571429,215,261,110,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,WD1015,3351620,Deb13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD1015,,1.0,15.0,"REPLICATE>BLOCK>PLOT:WD1015,REPLICATE>BLOCK:25,REPLICATE:1",rainfed,3538.8381576604,236.05668,"76,1611877157","76,1611877157",8.3536638655,234,282,118,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3039water_regimerainfed,3336609,Deb13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,315.5309472567,77.3098805956,76.7018494819,217.4688208195,2944.276971456,266.6451813917,107.3687492145,,,2013,17.043221026,19.5972739382,13.2968470117,224.011,168.539,721.734,-88.9130434783,-43.7395833333,30.8710195909,33.5922154001,25.2453420299,,,,,,,,,,,,,,,,
4,3078water_regimerainfed,3336644,Deb13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Debrecen 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,293.5503164979,72.1665404122,74.2506880605,217.5012213574,2258.8782981977,265.0050165362,122.2401294688,,,2013,17.7485552727,18.6225609857,13.5729867829,156.974,189.917,761.378,-74.0466666667,-47.9722222222,31.2598265972,32.7999056074,25.5951513086,,,,,,,,,,,,,,,,
5,WD3154,3352357,Deb13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD3154,,32.0,15.0,"REPLICATE>BLOCK>PLOT:WD3154,REPLICATE>BLOCK:32,REPLICATE:3",rainfed,1562.0373576283,212.8340611765,"71,3157238594","74,4667327846",3.3245475453,208,255,110,"-3,15100892520",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WD2004,3351897,Deb13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD2004,,13.0,4.0,"REPLICATE>BLOCK>PLOT:WD2004,REPLICATE>BLOCK:1,REPLICATE:2",rainfed,2604.1547380263,235.60328,"71,3157238594","74,4667327846",6.1354739791,214,260,122,"-3,15100892520",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WD1097,3351714,Deb13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD1097,,5.0,13.0,"REPLICATE>BLOCK>PLOT:WD1097,REPLICATE>BLOCK:17,REPLICATE:1",rainfed,3088.3634261855,247.6288235294,"72,8469300201","74,4667327846",7.6476780186,230,275,135,"-1,61980276450",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3256water_regimerainfed,3336816,Deb13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Debrecen 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,319.1159812524,74.3406840503,72.6139175509,219.6508241408,2431.0948816982,264.5374420008,122.2869340202,,,2013,18.1542415055,18.3165141871,13.7304068105,129.4,152.643,786.861,-68.2307692308,-49.6044776119,31.2611413389,32.7797460156,25.7527605785,,,,,,,,,,,,,,,,
9,WD3011,3352194,Deb13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD3011,,25.0,11.0,"REPLICATE>BLOCK>PLOT:WD3011,REPLICATE>BLOCK:13,REPLICATE:2,REPLICATE:3",rainfed,2126.6241444662,268.3752235294,"76,1611877157","72,8469300201",5.7073323013,208,250,118,"3,31425769560",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WD2085,3351989,Deb13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD2085,,17.0,1.0,"REPLICATE>BLOCK>PLOT:WD2085,REPLICATE>BLOCK:5,REPLICATE:2",rainfed,2401.4457447819,226.9802705882,"74,4667327846","74,4667327846",5.4508080495,217,260,118,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WD1188,3351818,Deb13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD1188,,9.0,20.0,"REPLICATE>BLOCK>PLOT:WD1188,REPLICATE>BLOCK:33,REPLICATE:1",rainfed,2638.2984743137,256.9208470588,"74,4667327846","71,3157238594",6.7783387881,213,265,133,"3,15100892520",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WD3126,3352325,Deb13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD3126,,30.0,1.0,"REPLICATE>BLOCK>PLOT:WD3126,REPLICATE>BLOCK:6,REPLICATE:3",rainfed,593.3868482191,277.1473788235,"72,8469300201","74,4667327846",1.6445560961,214,268,103,"-1,61980276450",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WD2202,3352123,Deb13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD2202,,22.0,9.0,"REPLICATE>BLOCK>PLOT:WD2202,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:3",rainfed,2654.6757530938,246.1625705882,"76,1611877157","77,8867322419",6.5348180746,232,275,116,"-1,72554452620",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WD1228,3351864,Deb13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD1228,,11.0,18.0,"REPLICATE>BLOCK>PLOT:WD1228,REPLICATE>BLOCK:35,REPLICATE:1",rainfed,2306.4615199491,264.1755082353,"74,4667327846","76,1611877157",6.0931064426,222,273,123,"-1,69445493110",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WD3238,3352453,Deb13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD3238,,36.0,15.0,"REPLICATE>BLOCK>PLOT:WD3238,REPLICATE>BLOCK:36,REPLICATE:3",rainfed,1347.0812962379,258.9292588235,"71,3157238594","74,4667327846",3.4879876161,208,255,98,"-3,15100892520",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WD2158,3352073,Deb13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD2158,,20.0,11.0,"REPLICATE>BLOCK>PLOT:WD2158,REPLICATE>BLOCK:20,REPLICATE:2",rainfed,2384.7134146807,264.5310541176,"69,944300775","71,3157238594",6.3083075335,208,273,100,"-1,37142308440",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WD1127,3351748,Deb13,127652,https://doi.org/10.15454/WPUFWH,F816_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD1127,,7.0,1.0,"REPLICATE>BLOCK>PLOT:WD1127,REPLICATE>BLOCK:7,REPLICATE:1",rainfed,1251.5311569416,232.65116,"71,3157238594","72,8469300201",2.9117017544,200,245,108,"-1,53120616070",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WD3204,3352414,Deb13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD3204,,34.0,7.0,"REPLICATE>BLOCK>PLOT:WD3204,REPLICATE>BLOCK:10,REPLICATE:3",rainfed,1289.7227132474,255.6302176471,"68,5100680312","71,3157238594",3.2969209789,202,243,109,"-2,80565582820",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,WD2243,3352170,Deb13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD2243,,24.0,10.0,"REPLICATE>BLOCK>PLOT:WD2243,REPLICATE>BLOCK:24,REPLICATE:2",rainfed,2022.5271998632,259.8610870588,"68,5100680312","68,5100680312",5.2557611676,226,268,110,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WD1226,3351862,Deb13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD1226,,11.0,16.0,"REPLICATE>BLOCK>PLOT:WD1226,REPLICATE>BLOCK:35,REPLICATE:1",rainfed,2257.0824079168,247.3081411765,"71,3157238594","69,944300775",5.5819485478,222,265,110,"1,37142308440",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,WD3192,3352401,Deb13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD3192,,34.0,19.0,"REPLICATE>BLOCK>PLOT:WD3192,REPLICATE>BLOCK:34,REPLICATE:3",rainfed,1084.9536445026,224.1353552941,"69,944300775","72,8469300201",2.4317647059,190,234,98,"-2,90262924510",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,WD2178,3352096,Deb13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD2178,,21.0,10.0,"REPLICATE>BLOCK>PLOT:WD2178,REPLICATE>BLOCK:21,REPLICATE:2",rainfed,2636.4502719463,258.17704,"68,5100680312","71,3157238594",6.8067092732,210,258,112,"-2,80565582820",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,WD1086,3351702,Deb13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD1086,,5.0,2.0,"REPLICATE>BLOCK>PLOT:WD1086,REPLICATE>BLOCK:5,REPLICATE:1",rainfed,940.6884284439,238.8828,"69,944300775","74,4667327846",2.2471428571,189,238,98,"-4,52243200960",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,WD3096,3352291,Deb13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD3096,,29.0,12.0,"REPLICATE>BLOCK>PLOT:WD3096,REPLICATE>BLOCK:17,REPLICATE:3",rainfed,2681.8873164476,245.2911176471,"71,3157238594","74,4667327846",6.5784313725,221,268,112,"-3,15100892520",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,WD2061,3351962,Deb13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD2061,,15.0,19.0,"REPLICATE>BLOCK>PLOT:WD2061,REPLICATE>BLOCK:27,REPLICATE:2",rainfed,1959.4213776031,250.7064082353,"71,3157238594","72,8469300201",4.912394958,234,290,110,"-1,53120616070",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,WD1091,3351707,Deb13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT,,,WD1091,,5.0,7.0,"REPLICATE>BLOCK>PLOT:WD1091,REPLICATE>BLOCK:5,REPLICATE:1",rainfed,2246.7917525386,237.6234870588,"71,3157238594","74,4667327846",5.3389049093,241,290,138,"-3,15100892520",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3001water_regimerainfed,3336571,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,308.5983332766,73.1517117585,74.433588303,217.0621052061,2904.3284041055,263.8473295504,111.9483708643,,,2013,17.5750344242,18.8252687036,13.6062539472,173.957,169.688,769.816,-76.0763888889,-47.9722222222,31.1825710035,32.9381121768,25.6072967577,,,,,,,,,,,,,,,,
28,10,3364587,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,10.0,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:401786,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,84,92,86,9,9.5,10,,,,,,,,,
29,8,3364586,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:401786,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,81,90,74,10,9.5,10,,,,,,,,,
30,3,3364583,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:401786,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,82,95,87,10,10.5,9.5,,,,,,,,,
31,6,3364591,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,6.0,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:401786,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,90,96,77,9,9,8.5,,,
32,9,3364593,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:401786,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,89,92.5,81,10,10,9,,,
33,2,3364594,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:401786,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,19,,,,,,,,99,96.5,,9,8,,,
34,5,3364590,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:401786,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,90,101,90,8.5,9,9,,,
35,4,3364589,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:401786,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,86,95,77,9.5,10,8.5,,,
36,1,3364588,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:401786,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,90,90,77,9.5,10,9,,,
37,7,3364592,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:401786,REPLICATE>BLOCK:22,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,92,101,77,9.5,9.5,9,,,
38,8,3364545,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:401424,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,,,,,,,86,86,77,9,11,10,,,
39,10,3364541,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,10.0,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:401424,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,,80,91,82,7.5,10,9,,,,,,,,,
40,3,3364539,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:401424,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,70,89,81,7.5,9.5,9,,,,,,,,,
41,6,3364540,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,6.0,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:401424,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,14,68,89,85,7,10,9.5,,,,,,,,,
42,9,3364546,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:401424,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,81,86,75,7.5,8,8,,,
43,5,3364543,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:401424,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,,,,,,,79,90,78,8,9.5,8,,,
44,2,3364538,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:401424,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,73,92,82,8,10,9.5,,,,,,,,,
45,4,3364542,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:401424,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,82,96,89,8,9.5,9.5,,,
46,1,3364534,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:401424,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,72,91.5,88,7,9.5,8.5,,,,,,,,,
47,7,3364544,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:401424,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,79,90.5,87.5,8,9.5,9.5,,,
48,10,3364582,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,10.0,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:401718,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,92,92,79,8.5,9.5,9,,,
49,8,3364580,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:401718,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,87,97,82,9,9.5,8.5,,,
50,6,3364576,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,6.0,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:401718,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,84,97.5,83,8.5,9,8.5,,,,,,,,,
51,9,3364581,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:401718,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,89,94,78,9.5,9,9,,,
52,5,3364578,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:401718,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,,,,,,,98.5,97,82,10,10,10,,,
53,2,3364575,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:401718,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,79,95,90.5,9,9.5,10.5,,,,,,,,,
54,4,3364572,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:401718,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,,,,,,,86,88,,9,9.5,,,,
55,1,3364577,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:401718,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,91,90,79,9.5,10.5,9.5,,,
56,7,3364579,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:401718,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,90,96,81.5,9,10,9,,,
57,10,3364507,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,10.0,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:400344,REPLICATE>BLOCK:13,REPLICATE:2,REPLICATE:3",watered,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,86,92,79,7.5,8.5,8.5,,,
58,8,3364496,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:400344,REPLICATE>BLOCK:13,REPLICATE:2,REPLICATE:3",watered,,,,,,,,,,2013,,,,,,,,,,,,15,86,91,74,8.5,9,7.5,,,,,,,,,
59,3,3364502,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:400344,REPLICATE>BLOCK:13,REPLICATE:2,REPLICATE:3",watered,,,,,,,,,,2013,,,,,,,,,,,,15,,,,,,,96,94,79,9.5,9.5,9,,,
60,6,3364505,Deb13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Debrecen 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,6.0,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:400344,REPLICATE>BLOCK:13,REPLICATE:2,REPLICATE:3",watered,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,85,91,73.5,9.5,9.5,9,,,
