,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L10,L12,W10,W12,L11,L13,W11,W13,L14,W14,L15,W15,L9,W9
0,NXN2LAV2003007,3362727,Ner12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV2003007,,2.0,19.0,"REPLICATE>BLOCK>PLOT:NXN2LAV2003007,REPLICATE>BLOCK:6,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2311.1579561691,237.2788235294,"72,7618835003","78,5924166874",5.4838884083,205,NA,140,"-5,83053318710",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NXN2LAV2004035,3362729,Ner12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV2004035,,30.0,18.0,"REPLICATE>BLOCK>PLOT:NXN2LAV2004035,REPLICATE>BLOCK:18,REPLICATE:3",rainfed,1167.3945069978,229.5188235294,"75,7721262276","83,5272539732",2.6793901384,175,NA,130,"-7,75512774560",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NXN2LAV2012020,3362728,Ner12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV2012020,,15.0,10.0,"REPLICATE>BLOCK>PLOT:NXN2LAV2012020,REPLICATE>BLOCK:8,REPLICATE:2",rainfed,3204.8181114551,247.1341176471,"72,7618835003","74,2429872652",7.9201989619,230,NA,135,"-1,48110376490",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NXN2LAV3018033,3362726,Ner12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV3018033,,16.0,4.0,"REPLICATE>BLOCK>PLOT:NXN2LAV3018033,REPLICATE>BLOCK:10,REPLICATE:2",watered,3762.8882499451,261.1167058824,"72,7618835003","72,7618835003",9.8255298443,260,NA,135,"0,00000000000",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NXN2LAV3015028,3362725,Ner12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV3015028,,11.0,7.0,"REPLICATE>BLOCK>PLOT:NXN2LAV3015028,REPLICATE>BLOCK:31,REPLICATE:1",watered,3597.1856793836,261.0788235294,"72,7618835003","74,2429872652",9.3914900519,280,NA,125,"-1,48110376490",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3039water_regimewatered,3340673,Ner12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Nerac 2012,VIRTUAL_TRIAL,,,,,,,,watered,315.9660083334,72.8167001105,75.8103584018,268.5748459287,3787.3648570077,,129.9121879389,,,2012,16.9831536519,18.3270531401,17.149877852,228.546,236.832,902.897,-62.1304347826,-104.9267241379,34.4136177157,36.6532660862,33.3205720407,,,,,,,,,,,,,,,
6,3039water_regimerainfed,3340427,Ner12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Nerac 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,293.0611548787,73.3166740485,80.2534733626,204.4188804148,2310.0784475764,,133.2867979864,,,2012,16.9831536519,18.5623931624,16.974416644,228.546,303.049,836.68,-198.1682692308,-218.5053030303,34.4136177157,36.8911269399,33.0263454165,,,,,,,,,,,,,,,
7,NXN2LAV2007007,3361947,Ner12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV2007007,,2.0,15.0,"REPLICATE>BLOCK>PLOT:NXN2LAV2007007,REPLICATE>BLOCK:6,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2247.0541844498,219.2894117647,"68,7503943227","71,3778600686",4.9275519031,180,NA,130,"-2,62746574590",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NXN2LAV2021034,3361949,Ner12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV2021034,,29.0,1.0,"REPLICATE>BLOCK>PLOT:NXN2LAV2021034,REPLICATE>BLOCK:13,REPLICATE:3",rainfed,1270.9484584,194.3,"68,7503943227","77,1954860675",2.4694528547,175,NA,130,"-8,44509174480",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NXN2LAV2013019,3361948,Ner12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV2013019,,14.0,9.0,"REPLICATE>BLOCK>PLOT:NXN2LAV2013019,REPLICATE>BLOCK:5,REPLICATE:2",rainfed,1763.8469655697,208.68,"68,7503943227","75,7721262276",3.6807958478,215,NA,140,"-7,02173190490",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
10,NXN2LAV3017031,3361946,Ner12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV3017031,,14.0,5.0,"REPLICATE>BLOCK>PLOT:NXN2LAV3017031,REPLICATE>BLOCK:4,REPLICATE:2",watered,2984.6152075854,217.4103529412,"68,7503943227","70,1020957105",6.4888624567,240,NA,110,"-1,35170138780",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
11,NXN2LAV3021028,3361945,Ner12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV3021028,,11.0,1.0,"REPLICATE>BLOCK>PLOT:NXN2LAV3021028,REPLICATE>BLOCK:31,REPLICATE:1",watered,3154.0097621057,222.0974117647,"67,1130688606","72,7618835003",7.0049740484,235,NA,120,"-5,64881463970",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3078water_regimewatered,3340708,Ner12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Nerac 2012,VIRTUAL_TRIAL,,,,,,,,watered,256.4382540351,67.7266137782,73.9004167925,242.3607948166,3104.1831344931,,116.5245446083,,,2012,17.7727220118,17.3711111111,17.2190455025,150.532,270.919,945.473,-58.13,-102.6264124294,34.4015152655,36.2341593126,33.6015428167,,,,,,,,,,,,,,,
13,3078water_regimerainfed,3340462,Ner12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Nerac 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,238.0091144987,68.452362229,77.1573471238,189.9530359918,1808.9795757416,,135.7244605813,,,2012,17.7727220118,17.7206349206,17.0361372259,150.532,323.164,869.151,-183.2514880952,-218.4992559524,34.4015152655,36.6197475026,33.2677156952,,,,,,,,,,,,,,,
14,NXN2LAV2011030,3362959,Ner12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV2011030,,25.0,11.0,"REPLICATE>BLOCK>PLOT:NXN2LAV2011030,REPLICATE>BLOCK:2,REPLICATE:3",rainfed,2091.8293788104,237.216,"68,7503943227","74,2429872652",4.9621539792,200,NA,125,"-5,49259294250",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NXN2LAV2004028,3362958,Ner12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV2004028,,23.0,18.0,"REPLICATE>BLOCK>PLOT:NXN2LAV2004028,REPLICATE>BLOCK:33,REPLICATE:2",rainfed,2172.9316285442,239.3896470588,"70,1020957105","74,2429872652",5.2017733564,200,NA,130,"-4,14089155470",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
16,NXN2LAV2006011,3362957,Ner12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV2006011,,6.0,16.0,"REPLICATE>BLOCK>PLOT:NXN2LAV2006011,REPLICATE>BLOCK:18,REPLICATE:1",rainfed,2742.5040243595,250.4901176471,"70,1020957105","71,3778600686",6.8697015571,195,NA,130,"-1,27576435810",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NXN2LAV3009030,3362956,Ner12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV3009030,,13.0,13.0,"REPLICATE>BLOCK>PLOT:NXN2LAV3009030,REPLICATE>BLOCK:2,REPLICATE:2",watered,4143.3143600901,256.8456470588,"68,7503943227","70,1020957105",10.6419225779,260,NA,130,"-1,35170138780",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
18,NXN2LAV3003029,3362955,Ner12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV3003029,,12.0,19.0,"REPLICATE>BLOCK>PLOT:NXN2LAV3003029,REPLICATE>BLOCK:36,REPLICATE:1",watered,3996.1636828645,261.6344705882,"68,7503943227","70,1020957105",10.4553416955,265,NA,130,"-1,35170138780",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3256water_regimewatered,3340880,Ner12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Nerac 2012,VIRTUAL_TRIAL,,,,,,,,watered,306.2334349256,68.6493522043,72.68014577,261.153356059,4058.3068130762,,132.6606855056,,,2012,17.7867534036,17.3829059829,17.2328947441,119.604,221.002,971.313,-54.8862179487,-101.7708333333,34.0597906288,36.0785767317,33.6380323017,,,,,,,,,,,,,,,
20,3256water_regimerainfed,3340634,Ner12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Nerac 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,293.6446355098,69.4683665727,74.589187858,200.6179222946,2474.9537004061,,128.5821673851,,,2012,17.7867534036,17.5055555556,17.2041172105,119.604,272.491,928.043,-172.0907738095,-218.4314971751,34.0597906288,36.1389366725,33.4339461313,,,,,,,,,,,,,,,
21,NXN2LAV2016039,3361702,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV2016039,,34.0,6.0,"REPLICATE>BLOCK>PLOT:NXN2LAV2016039,REPLICATE>BLOCK:28,REPLICATE:3",rainfed,1221.2879150803,194.8741176471,"68,7503943227","78,5924166874",2.3799740484,165,NA,130,"-9,84202236470",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
22,NXN2LAV2009040,3361693,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV2009040,,35.0,13.0,"REPLICATE>BLOCK>PLOT:NXN2LAV2009040,REPLICATE>BLOCK:32,REPLICATE:3",rainfed,1561.7971912639,192.1971764706,"68,7503943227","78,5924166874",3.0017301038,190,NA,130,"-9,84202236470",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
23,NXN2LAV2020028,3361691,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV2020028,,23.0,2.0,"REPLICATE>BLOCK>PLOT:NXN2LAV2020028,REPLICATE>BLOCK:31,REPLICATE:2",rainfed,2368.4813517896,209.3685882353,"70,1020957105","77,1954860675",4.9588559689,190,NA,130,"-7,09339035700",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
24,NXN2LAV2013013,3361689,Ner12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Nerac 2012,REPLICATE>BLOCK>PLOT,,,NXN2LAV2013013,,8.0,9.0,"REPLICATE>BLOCK>PLOT:NXN2LAV2013013,REPLICATE>BLOCK:23,REPLICATE:1",rainfed,2877.7598246367,219.8769411765,"70,1020957105","72,7618835003",6.3275302768,220,NA,145,"-2,65978778980",2012,,,,,,,,,,,,,,,,,,,,,,,,,,
