,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L8,L10,L12,W8,W10,W12,Check,L9,L11,L13,W9,W11,W13,L14,W14
0,FRI00406629,3348609,Cam13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406629,,18.0,21.0,"REPLICATE>BLOCK>PLOT:FRI00406629,REPLICATE>BLOCK:26,REPLICATE:2",watered,2423.9417989418,288.4894117647,"71,1713602039","72,6945131971",6.9928154373,230,270,130,"-1,52315299320",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FRI00407078,3348079,Cam13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407078,,2.0,7.0,"REPLICATE>BLOCK>PLOT:FRI00407078,REPLICATE>BLOCK:1,REPLICATE:1",watered,2328.0423280423,294.72,"72,6945131971","77,6996082396",6.8612063492,245,290,120,"-5,00509504250",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FRI00407653,3347949,Cam13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407653,,16.0,33.0,"REPLICATE>BLOCK>PLOT:FRI00407653,REPLICATE>BLOCK:6,REPLICATE:3",rainfed,1809.5238095238,266.1176470588,"76,0005825366","81,1066458669",4.8154621849,205,250,100,"-5,10606333030",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,FRI00407929,3347526,Cam13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407929,,6.0,56.0,"REPLICATE>BLOCK>PLOT:FRI00407929,REPLICATE>BLOCK:32,REPLICATE:2",rainfed,1650.1322751323,278.9270588235,"72,6945131971","77,6996082396",4.6026654217,195,235,90,"-5,00509504250",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,FRI00408251,3347350,Cam13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00408251,,4.0,14.0,"REPLICATE>BLOCK>PLOT:FRI00408251,REPLICATE>BLOCK:12,REPLICATE:1",rainfed,2003.0234315949,245.0164705882,"76,0005825366","81,1066458669",4.9077373171,200,240,100,"-5,10606333030",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3039water_regimewatered,3335315,Cam13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Campagnola 2013,VIRTUAL_TRIAL,,,,,,,,watered,331.2011880531,72.1737781353,75.6433983679,234.3757542709,2357.3037095329,277.1875085621,125.2871859675,,,2013,22.3987981553,21.0098722335,14.7873802649,175.571,213.229,896.826,-19.7375,-37.3819444444,36.0847296229,35.9724490687,25.61959216,,,,,,,,,,,,,,,,
6,3039water_regimerainfed,3335069,Cam13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Campagnola 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,299.0662271216,74.7354436732,79.8237571543,199.9095358209,1822.976357477,241.7719394847,97.3094072434,,,2013,22.3987981553,20.5118719316,14.6367820387,175.571,234.418,828.223,-68.481884058,-15.8740740741,36.0847296229,35.7303344876,25.1877153656,,,,,,,,,,,,,,,,
7,FRI00406753,3348453,Cam13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406753,,13.0,24.0,"REPLICATE>BLOCK>PLOT:FRI00406753,REPLICATE>BLOCK:30,REPLICATE:2",watered,1832.0105820106,279.2282352941,"68,0356863115","71,1713602039",5.1154908185,230,270,120,"-3,13567389240",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FRI00406851,3348340,Cam13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00406851,,10.0,10.0,"REPLICATE>BLOCK>PLOT:FRI00406851,REPLICATE>BLOCK:18,REPLICATE:1",watered,1643.5185185185,280.1317647059,"71,1713602039","74,3289392431",4.6040174292,240,280,120,"-3,15757903920",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FRI00407625,3348003,Cam13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407625,,17.0,52.0,"REPLICATE>BLOCK>PLOT:FRI00407625,REPLICATE>BLOCK:34,REPLICATE:3",rainfed,1579.7430083144,245.2141176471,"72,6945131971","79,5387303272",3.8737528789,210,250,95,"-6,84421713010",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FRI00407852,3347695,Cam13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00407852,,9.0,36.0,"REPLICATE>BLOCK>PLOT:FRI00407852,REPLICATE>BLOCK:17,REPLICATE:2",rainfed,1562.6102292769,261.1411764706,"72,6945131971","79,5387303272",4.0806187364,195,230,90,"-6,84421713010",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FRI00408269,3347276,Cam13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Campagnola 2013,REPLICATE>BLOCK>PLOT,,,FRI00408269,,3.0,5.0,"REPLICATE>BLOCK>PLOT:FRI00408269,REPLICATE>BLOCK:2,REPLICATE:1",rainfed,1247.1655328798,242.2164705882,"69,6098426242","77,6996082396",3.0208403361,215,250,110,"-8,08976561540",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3078water_regimewatered,3335350,Cam13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Campagnola 2013,VIRTUAL_TRIAL,,,,,,,,watered,318.7528470575,69.5440653413,72.7666232018,239.6016079998,1754.0374902015,278.7356089341,121.9848369231,,,2013,22.4431305115,21.5130581787,14.8098006969,124.743,229.152,928.684,-17.2142857143,-37.1916666667,35.9894873869,36.5316192488,25.6238296773,,,,,,,,,,,,,,,,
