,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L10,L12,L14,W10,W12,W14,Check,L9,L11,L13,W9,W11,W13
0,R1024B01039,3355016,Gai13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B01039,,70.0,2.0,"REPLICATE>BLOCK>PLOT:R1024B01039,REPLICATE>BLOCK:19,REPLICATE:1,REPLICATE:3,REPLICATE:2",rainfed,1932.8703703704,388.0588235294,"81,197629786","85,7952931765",7.5006740196,155,205,55,"-4,59766339050",2013,,,,,,,,,,,,,,,,,,,,,,,,,
1,R1014B01039,3354106,Gai13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B01039,,187.0,18.0,"REPLICATE>BLOCK>PLOT:R1014B01039,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",watered,2974.2324561404,331.2705882353,"82,6769095268","79,742995425",9.8527573529,230,275,100,"2,93391410180",2013,,,,,,,,,,,,,,,,,,,,,,,,,
2,R1024B02039,3355317,Gai13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B02039,,76.0,13.0,"REPLICATE>BLOCK>PLOT:R1024B02039,REPLICATE>BLOCK:30,REPLICATE:2",rainfed,2382.662835249,369.4941176471,"85,7952931765","85,7952931765",8.8037990196,160,200,70,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,
3,R1024B03039,3354168,Gai13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B03039,,54.0,25.0,"REPLICATE>BLOCK>PLOT:R1024B03039,REPLICATE>BLOCK:6,REPLICATE:3",rainfed,2159.2881944444,416.1882352941,"81,197629786","81,197629786",8.9867034314,170,205,75,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,
4,R1014B02039,3354718,Gai13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B02039,,200.0,31.0,"REPLICATE>BLOCK>PLOT:R1014B02039,REPLICATE>BLOCK:23,REPLICATE:2",watered,2947.4431818182,389.7882352941,"76,907533587","76,907533587",11.4887867647,140,295,130,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,
5,3039water_regimewatered,3337593,Gai13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Gaillac 2013,VIRTUAL_TRIAL,,,,,,,,watered,411.3672047526,79.505468036,77.4386802701,237.6973765969,2936.2674090313,288.8577918268,115.9972292544,,,2013,17.0782622522,21.3293572084,15.9263256549,330.892,184.553,780.426,-10.9810606061,-7.2578125,30.5434612746,35.9983486434,28.1388976718,,,,,,,,,,,,,,
6,3039water_regimerainfed,3337347,Gai13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Gaillac 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,458.4556971826,82.9452186822,84.3887131511,164.0689439586,2165.4305317853,206.0785064896,67.4189894658,,,2013,17.0782622522,20.5750991395,15.784076232,330.892,191.153,693.851,-69.1234567901,-37.0762711864,30.5434612746,34.8213964414,28.0163145795,,,,,,,,,,,,,,
7,R1024B01074,3354829,Gai13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B01074,,66.0,9.0,"REPLICATE>BLOCK>PLOT:R1024B01074,REPLICATE>BLOCK:26,REPLICATE:1",rainfed,1918.1910569106,364.6588235294,"81,197629786","82,6769095268",6.9948529412,170,210,75,"-1,47927974080",2013,,,,,,,,,,,,,,,,,,,,,,,,,
8,R1024B02074,3354595,Gai13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1024B02074,,62.0,14.0,"REPLICATE>BLOCK>PLOT:R1024B02074,REPLICATE>BLOCK:13,REPLICATE:2",rainfed,2008.0321285141,366.6647058824,"75,3318871563","84,2066964446",7.362745098,160,205,70,"-8,87480928830",2013,,,,,,,,,,,,,,,,,,,,,,,,,
9,R1014B01074,3355308,Gai13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Gaillac 2013,REPLICATE>BLOCK>PLOT,,,R1014B01074,,211.0,25.0,"REPLICATE>BLOCK>PLOT:R1014B01074,REPLICATE>BLOCK:35,REPLICATE:1",watered,3398.2240437159,270.9117647059,"73,7103504074","73,7103504074",9.2061887255,245,290,130,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,
