,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L11,L13,W11,W13,Check,L12,L14,W12,W14,L10,W10,L15,W15
0,400920,3349797,Cra12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,400920.0,,8.0,17.0,"REPLICATE>BLOCK>PLOT:400920,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,2096.7291025999,281.6969450496,"73,2127793108","69,7269833316",5.906421828,190,240,85,"3,48579597920",2012,,,,,,,,,,,,,,,,,,,,,,,,,
1,402216,3348901,Cra12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,402216.0,,18.0,29.0,"REPLICATE>BLOCK>PLOT:402216,REPLICATE>BLOCK:18,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,308.5911784068,235.7458823529,"73,2127793108","76,304846632",0.7274909964,120,160,50,"-3,09206732120",2012,,,,,,,,,,,,,,,,,,,,,,,,,
2,400653,3350070,Cra12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,400653.0,,19.0,5.0,"REPLICATE>BLOCK>PLOT:400653,REPLICATE>BLOCK:19,REPLICATE:1",watered,1742.5984478298,275.1889237092,"73,2127793108","74,7699030262",4.7954379132,140,180,60,"-1,55712371540",2012,,,,,,,,,,,,,,,,,,,,,,,,,
3,402315,3349008,Cra12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,402315.0,,16.0,2.0,"REPLICATE>BLOCK>PLOT:402315,REPLICATE>BLOCK:16,REPLICATE:1",rainfed,675.2701080432,255.2861538462,"71,3522943923","79,3444082809",1.7238710869,105,150,45,"-7,99211388860",2012,,,,,,,,,,,,,,,,,,,,,,,,,
4,402156,3348837,Cra12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,402156.0,,20.0,17.0,"REPLICATE>BLOCK>PLOT:402156,REPLICATE>BLOCK:20,REPLICATE:2",rainfed,231.9109461967,247.38,"73,2127793108",NA,0.5737012987,105,145,35,,2012,,,,,,,,,,,,,,,,,,,,,,,,,
5,3039water_regimewatered,3335807,Cra12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Caracal 2012,VIRTUAL_TRIAL,,,,,,,,watered,283.3624780425,73.4812983819,72.3194252707,176.8560958064,2046.5973128851,218.5434752105,75.0729315821,,,2012,19.5962124679,23.031063187,20.3464063825,204.267,191.816,932.088,-46.125,-18.0288461538,35.1182552036,35.7386968155,33.1362822887,,,,,,,,,,,,,,
6,3039water_regimerainfed,3335561,Cra12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Caracal 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,269.5381610378,72.4803453842,76.8377049918,115.8757876416,543.8658541591,158.87494755,47.5183114542,,,2012,19.5962124679,23.0105991158,20.3840850176,204.267,256.314,854.827,-110.6925,-10.6979166667,35.1182552036,35.8107517543,33.1911630066,,,,,,,,,,,,,,
7,402632,3349351,Cra12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,402632.0,,7.0,28.0,"REPLICATE>BLOCK>PLOT:402632,REPLICATE>BLOCK:7,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,525.2100840336,258.56,"71,3522943923","80,9101623179",1.3579831933,110,150,60,"-9,55786792560",2012,,,,,,,,,,,,,,,,,,,,,,,,,
8,400624,3350137,Cra12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,400624.0,,21.0,24.0,"REPLICATE>BLOCK>PLOT:400624,REPLICATE>BLOCK:21,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",watered,1093.2944606414,243.1083224401,"69,7269833316","74,7699030262",2.6578898226,145,180,80,"-5,04291969460",2012,,,,,,,,,,,,,,,,,,,,,,,,,
9,402109,3348785,Cra12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,402109.0,,21.0,9.0,"REPLICATE>BLOCK>PLOT:402109,REPLICATE>BLOCK:21,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,403.9115646259,225.2524886878,"71,3522943923","74,7699030262",0.9098208514,115,155,65,"-3,41760863390",2012,,,,,,,,,,,,,,,,,,,,,,,,,
10,400804,3349921,Cra12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,400804.0,,13.0,12.0,"REPLICATE>BLOCK>PLOT:400804,REPLICATE>BLOCK:13,REPLICATE:1",watered,2394.0345368917,251.9335217056,"69,7269833316","73,2127793108",6.0313755196,175,215,100,"-3,48579597920",2012,,,,,,,,,,,,,,,,,,,,,,,,,
11,402365,3349062,Cra12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,402365.0,,14.0,24.0,"REPLICATE>BLOCK>PLOT:402365,REPLICATE>BLOCK:14,REPLICATE:2",rainfed,566.8934240363,236.1354545455,"73,2127793108","76,304846632",1.3386363636,120,160,70,"-3,09206732120",2012,,,,,,,,,,,,,,,,,,,,,,,,,
12,3078water_regimewatered,3335842,Cra12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Caracal 2012,VIRTUAL_TRIAL,,,,,,,,watered,256.4671475917,69.5300162242,72.3413318765,163.4449771715,1646.5822906759,194.9065859503,94.538077058,,,2012,18.7334623909,23.1034233255,20.3464063825,148.273,258.227,932.088,-44.0357142857,-18.0288461538,34.6229305046,35.8902992774,33.1362822887,,,,,,,,,,,,,,
13,3078water_regimerainfed,3335596,Cra12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Caracal 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,254.5341426608,72.2712689508,76.6367670096,110.6551637558,580.189343004,148.8545536496,65.4625390295,,,2012,18.7334623909,23.079336295,20.2385795958,148.273,256.314,888.021,-113.4456521739,-10.6979166667,34.6229305046,35.9397729231,32.9918055968,,,,,,,,,,,,,,
14,402429,3349131,Cra12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,402429.0,,12.0,32.0,"REPLICATE>BLOCK>PLOT:402429,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,874.6355685131,266.1647058824,"69,7269833316","74,7699030262",2.3279711885,125,160,60,"-5,04291969460",2012,,,,,,,,,,,,,,,,,,,,,,,,,
15,401059,3349645,Cra12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,401059.0,,2.0,22.0,"REPLICATE>BLOCK>PLOT:401059,REPLICATE>BLOCK:2,REPLICATE:2",watered,2077.2594752187,270.1203582668,"71,3522943923","69,7269833316",5.6111007366,175,225,80,"1,62531106070",2012,,,,,,,,,,,,,,,,,,,,,,,,,
16,400981,3349731,Cra12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,400981.0,,6.0,4.0,"REPLICATE>BLOCK>PLOT:400981,REPLICATE>BLOCK:6,REPLICATE:1",watered,2048.0022995114,275.1889237092,"71,3522943923","69,7269833316",5.6358754856,160,220,95,"1,62531106070",2012,,,,,,,,,,,,,,,,,,,,,,,,,
17,402151,3348832,Cra12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,402151.0,,20.0,22.0,"REPLICATE>BLOCK>PLOT:402151,REPLICATE>BLOCK:20,REPLICATE:2",rainfed,354.3083900227,269.8690909091,"73,2127793108","74,7699030262",0.9561688312,110,150,45,"-1,55712371540",2012,,,,,,,,,,,,,,,,,,,,,,,,,
18,402674,3349396,Cra12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT,,,402674.0,,6.0,3.0,"REPLICATE>BLOCK>PLOT:402674,REPLICATE>BLOCK:6,REPLICATE:1",rainfed,1181.7226890756,255.2861538462,"73,2127793108","71,3522943923",3.0167744021,145,185,70,"1,86048491850",2012,,,,,,,,,,,,,,,,,,,,,,,,,
19,3256water_regimewatered,3336014,Cra12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Caracal 2012,VIRTUAL_TRIAL,,,,,,,,watered,282.5559536604,71.5115831204,72.6301580485,163.496115152,1907.5692476737,214.5397675026,87.2012658581,,,2012,18.6727732041,22.7709226078,20.5352089757,114.163,212.247,882.307,-41.8152173913,-18.0288461538,34.5357469092,35.848323937,33.3906664136,,,,,,,,,,,,,,
20,3256water_regimerainfed,3335768,Cra12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,KWS Caracal 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,275.5860086297,72.0684817586,73.7435644738,123.4117141447,796.2270753318,160.6318979151,58.8013035971,,,2012,18.6727732041,22.7709226078,20.4902736027,114.163,212.247,898.894,-119.3858695652,-12.5432692308,34.5357469092,35.848323937,33.3332535803,,,,,,,,,,,,,,
21,5,3348745,Cra12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:402557,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,86,74,7.1,7.1,Yes,,,,,,,,
22,9,3348749,Cra12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:402557,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,,,,,Yes,83,72,6.7,6.6,,,,
23,1,3348738,Cra12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:402557,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,17,,,,,Yes,84,71,7,6.4,,,,
24,7,3348747,Cra12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,KWS Caracal 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:402557,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,77,71,6.4,6.6,Yes,,,,,,,,
