,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill
0,G72-02-2-39,3352849,Gai12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-2-39,,13.0,8.0,"REPLICATE>BLOCK>PLOT:G72-02-2-39,REPLICATE>BLOCK:14,REPLICATE:2",watered,3911.4513981358,308.7935294118,"69,1907382303","68,1234868243",12.0783088235,260,300,115,"1,06725140600",2012,,,,,,,,,,,
1,G72-02-1-39,3352848,Gai12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-1-39,,3.0,4.0,"REPLICATE>BLOCK>PLOT:G72-02-1-39,REPLICATE>BLOCK:9,REPLICATE:1",watered,4173.2386961094,261.0588235294,"62,0608834049","63,3048330487",10.8946078431,250,300,110,"-1,24394964380",2012,,,,,,,,,,,
2,G72-01-3-39,3352847,Gai12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-3-39,,20.0,12.0,"REPLICATE>BLOCK>PLOT:G72-01-3-39,REPLICATE>BLOCK:6,REPLICATE:3",rainfed,961.5384615385,230.7576470588,"73,2949949091","80,2021890789",2.2188235294,150,190,80,"-6,90719416980",2012,,,,,,,,,,,
3,G72-01-2-39,3352846,Gai12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-2-39,,13.0,17.0,"REPLICATE>BLOCK>PLOT:G72-01-2-39,REPLICATE>BLOCK:15,REPLICATE:2",rainfed,NA,NA,"73,2949949091","83,19971632",NA,170,210,105,"-9,90472141090",2012,,,,,,,,,,,
4,G72-01-1-39,3352845,Gai12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-1-39,,5.0,6.0,"REPLICATE>BLOCK>PLOT:G72-01-1-39,REPLICATE>BLOCK:17,REPLICATE:1",rainfed,1012.3966942149,242,"70,3468421086","84,6081786292",2.45,175,205,105,"-14,26133652060",2012,,,,,,,,,,,
5,3039water_regimewatered,3337101,Gai12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,watered,350.5843650571,65.9802607857,66.2621603972,248.7833736247,4107.5885123267,298.9613658404,109.5725474569,,,2012,18.367671156,18.2785964912,17.0028854165,358.108,266.712,963.435,-19.9934210526,-9.9206989247,26.8655532639,27.637243318,25.3819659186
6,3039water_regimerainfed,3336855,Gai12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,284.2056090962,72.5695421996,82.7004660929,162.8702312131,845.3791291459,198.1645028508,96.4127309086,,,2012,,,,,,,,,,,
7,G72-02-2-75,3353029,Gai12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-2-75,,10.0,19.0,"REPLICATE>BLOCK>PLOT:G72-02-2-75,REPLICATE>BLOCK:3,REPLICATE:2",watered,4009.2267135325,236.9717647059,"68,1234868243","69,1907382303",9.5007352941,250,315,120,"-1,06725140600",2012,,,,,,,,,,,
8,G72-02-1-75,3353028,Gai12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-1-75,,3.0,2.0,"REPLICATE>BLOCK>PLOT:G72-02-1-75,REPLICATE>BLOCK:9,REPLICATE:1",watered,3966.4202094886,231.0388235294,"64,7849117529","65,9788172736",9.1639705882,250,315,120,"-1,19390552070",2012,,,,,,,,,,,
9,G72-01-3-75,3353027,Gai12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-3-75,,22.0,13.0,"REPLICATE>BLOCK>PLOT:G72-01-3-75,REPLICATE>BLOCK:14,REPLICATE:3",rainfed,1416.015625,209.6188235294,"64,7849117529","81,6621384111",2.9682352941,160,210,90,"-16,87722665820",2012,,,,,,,,,,,
10,G72-01-2-75,3353026,Gai12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-2-75,,12.0,28.0,"REPLICATE>BLOCK>PLOT:G72-01-2-75,REPLICATE>BLOCK:12,REPLICATE:2",rainfed,1581.9502074689,199.3211764706,"68,1234868243","84,6081786292",3.1531617647,140,200,105,"-16,48469180490",2012,,,,,,,,,,,
11,G72-01-1-75,3353025,Gai12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-1-75,,5.0,5.0,"REPLICATE>BLOCK>PLOT:G72-01-1-75,REPLICATE>BLOCK:17,REPLICATE:1",rainfed,1337.0646766169,222.2823529412,"63,3048330487","78,9055366062",2.9720588235,175,215,105,"-15,60070355750",2012,,,,,,,,,,,
12,3078water_regimewatered,3337136,Gai12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,watered,276.2157152012,66.5517793267,67.5390364727,252.0843347524,3997.0458751972,308.4001625007,122.4702439309,,,2012,18.2659858586,18.1108207071,17.0439396396,263.182,266.712,963.435,-20.7725694444,-9.9206989247,27.0224858534,27.2133416888,25.4644615555
13,3078water_regimerainfed,3336890,Gai12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,253.6473464043,65.6797160509,81.6401214942,154.6533719836,1374.0153468667,207.8938014575,98.902885746,,,2012,,,,,,,,,,,
14,G72-02-2-251,3353909,Gai12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-2-251,,11.0,2.0,"REPLICATE>BLOCK>PLOT:G72-02-2-251,REPLICATE>BLOCK:5,REPLICATE:2",watered,4876.9711799891,263.59,"64,7849117529","64,7849117529",12.8552083333,250,300,120,"0,00000000000",2012,,,,,,,,,,,
15,G72-02-1-251,3353908,Gai12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-1-251,,8.0,22.0,"REPLICATE>BLOCK>PLOT:G72-02-1-251,REPLICATE>BLOCK:32,REPLICATE:1",watered,5082.1217016694,259.98,"65,9788172736","65,9788172736",13.2125,250,315,100,"0,00000000000",2012,,,,,,,,,,,
16,G72-01-3-251,3353907,Gai12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-3-251,,21.0,24.0,"REPLICATE>BLOCK>PLOT:G72-01-3-251,REPLICATE>BLOCK:12,REPLICATE:3",rainfed,1141.7322834646,248.0235294118,"67,0282656168","67,0282656168",2.8317647059,185,230,95,"0,00000000000",2012,,,,,,,,,,,
17,G72-01-2-251,3353906,Gai12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-2-251,,14.0,16.0,"REPLICATE>BLOCK>PLOT:G72-01-2-251,REPLICATE>BLOCK:19,REPLICATE:2",rainfed,1831.955922865,240.5764705882,"68,1234868243","80,2021890789",4.407254902,180,220,105,"-12,07870225460",2012,,,,,,,,,,,
18,G72-01-1-251,3353905,Gai12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-01-1-251,,6.0,17.0,"REPLICATE>BLOCK>PLOT:G72-01-1-251,REPLICATE>BLOCK:23,REPLICATE:1",rainfed,2659.7496706192,204.7811764706,"64,7849117529","73,2949949091",5.4466666667,170,215,105,"-8,51008315620",2012,,,,,,,,,,,
19,3256water_regimewatered,3337308,Gai12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,watered,316.9395337399,65.9433638921,65.891501927,253.4744399745,4956.5576952722,308.0088237491,109.3502552223,,,2012,17.8503858586,17.8659878788,17.1184920576,222.925,258.65,989.124,-21.625,-9.8841145833,26.5814758741,27.0803668016,25.5157446615
20,3256water_regimerainfed,3337062,Gai12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Biogemma Gaillac 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,306.9511511523,66.5571218515,73.3259151412,176.0732583498,1857.8964082751,213.777842384,98.3487694738,,,2012,,,,,,,,,,,
21,G72-02-2-252,3353914,Gai12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Biogemma Gaillac 2012,REPLICATE>BLOCK>PLOT,,,G72-02-2-252,,11.0,19.0,"REPLICATE>BLOCK>PLOT:G72-02-2-252,REPLICATE>BLOCK:7,REPLICATE:2",watered,4291.1954765751,240.3176470588,"70,3468421086","70,3468421086",10.3125,235,295,110,"0,00000000000",2012,,,,,,,,,,,
