,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L10,L12,W10,W12,Check
14,123256,3347134,Cam12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,123256.0,,16.0,13.0,"REPLICATE>BLOCK>PLOT:123256,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",watered,NA,NA,"70,4966242956","73,6998526186",5.6786728914,210,240,100,"-3,20322832300",2012,,,,,,,,,,,,,,,,,
15,113256,3346845,Cam12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,113256.0,,5.0,15.0,"REPLICATE>BLOCK>PLOT:113256,REPLICATE>BLOCK:19,REPLICATE:1",watered,NA,NA,"68,9320610081","72,0909156051",6.271611578,210,250,100,"-3,15885459700",2012,,,,,,,,,,,,,,,,,
16,223256,3346474,Cam12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,223256.0,,17.0,39.0,"REPLICATE>BLOCK>PLOT:223256,REPLICATE>BLOCK:30,REPLICATE:2",rainfed,NA,NA,"72,0909156051","87,6930792087",3.2300802988,145,175,75,"-15,60216360360",2012,,,,,,,,,,,,,,,,,
17,213256,3346256,Cam12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,213256.0,,14.0,16.0,"REPLICATE>BLOCK>PLOT:213256,REPLICATE>BLOCK:19,REPLICATE:1",rainfed,NA,NA,"72,0909156051","80,0134329032",2.7939931528,150,185,80,"-7,92251729810",2012,,,,,,,,,,,,,,,,,
18,233256,3345959,Cam12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,233256.0,,9.0,38.0,"REPLICATE>BLOCK>PLOT:233256,REPLICATE>BLOCK:34,REPLICATE:3",rainfed,NA,NA,"78,4377444101","86,1419677247",3.5709928416,160,190,80,"-7,70422331460",2012,,,,,,,,,,,,,,,,,
19,3256water_regimewatered,3335030,Cam12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Campagnola 2012,VIRTUAL_TRIAL,,,,,,,,watered,,69.707837238,72.4766395386,209.9778238604,1929.54842412,245.3724580575,99.7348136633,,,2012,19.88559752,20.7274379842,19.1980683593,58.039,275.454,1267.139,-26.2391304348,-18.8888888889,36.2183065647,36.6282834955,33.692130053,,,,,,
20,3256water_regimerainfed,3334784,Cam12,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,Syngenta Campagnola 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,,72.5762984312,84.4580866277,153.1762471115,1026.023545162,185.153657991,79.4859457752,,,2012,19.88559752,20.3773567395,19.2435236512,58.039,404.175,1075.315,-79.7634408602,-12.9575757576,36.2183065647,36.6324169515,33.3921514511,,,,,,
21,123001,3346847,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,123001.0,,11.0,25.0,"REPLICATE>BLOCK>PLOT:123001,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,NA,NA,"70,4966242956","75,2730380189",4.3141861189,195,230,100,"-4,77641372330",2012,,,,,,,,,,,,,,,,,
22,113001,3346558,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,113001.0,,5.0,13.0,"REPLICATE>BLOCK>PLOT:113001,REPLICATE>BLOCK:18,REPLICATE:1",watered,NA,NA,"68,9320610081","73,6998526186",5.0698039216,190,220,105,"-4,76779161050",2012,,,,,,,,,,,,,,,,,
23,223001,3346361,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT,,,223001.0,,15.0,52.0,"REPLICATE>BLOCK>PLOT:223001,REPLICATE>BLOCK:24,REPLICATE:2",rainfed,NA,NA,"72,0909156051","83,0722419114",1.8593563648,120,150,65,"-10,98132630630",2012,,,,,,,,,,,,,,,,,
