,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L10,L12,L14,W10,W12,W14,L9,L11,L13,W9,W11,W13,L8,W8,L15,W15
0,85,3343032,Mar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,85.0,,1.0,8.0,"REPLICATE>BLOCK>PLOT:85,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,3305.381458734,344,"71,6416376017","70,3112532024",11.370512218,250,278,105,"1,33038439930",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3039water_regimewatered,3339625,Mar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,watered,352.5258594458,71.5804389426,71.6405810169,251.237859248,3656.8001355009,278.5831955411,108.6808236618,,,2013,16.8291880342,17.9969444444,16.7284660895,303.905,238.341,1212.951,-112.1755176302,-95.0374261573,31.7793814321,34.3369068605,30.9739449642,,,,,,,,,,,,,,,,,
2,3039water_regimerainfed,3339379,Mar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,350.4420072309,69.9177338163,72.1149533052,249.4650027116,2225.385582323,274.986240843,93.2502163645,,,2013,16.8291880342,17.9969444444,16.5486349607,303.905,265.27,1199.06,-197.5417227735,-167.2929686522,31.7793814321,34.3369068605,30.938950204,,,,,,,,,,,,,,,,,
3,317,3343547,Mar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,317.0,,22.0,6.0,"REPLICATE>BLOCK>PLOT:317,REPLICATE>BLOCK:10,REPLICATE:2",watered,3718.0360006665,361,"71,6416376017","73,0115533369",13.4221099624,253,279,114,"-1,36991573520",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,657,3342528,Mar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,657.0,,10.0,9.0,"REPLICATE>BLOCK>PLOT:657,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2952.245731851,351,"68,9775284053","71,6416376017",10.3623825188,249,281,98,"-2,66410919640",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,970,3342899,Mar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,970.0,,19.0,18.0,"REPLICATE>BLOCK>PLOT:970,REPLICATE>BLOCK:31,REPLICATE:2",rainfed,2453.2861170784,350,"70,3112532024","71,6416376017",8.5865014098,245,273,92,"-1,33038439930",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1032,3342307,Mar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1032.0,,4.0,26.0,"REPLICATE>BLOCK>PLOT:1032,REPLICATE>BLOCK:4,REPLICATE:3",rainfed,1839.2049459587,352,"70,3112532024","73,0115533369",6.4740014098,255,271,90,"-2,70030013450",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3078water_regimewatered,3339660,Mar13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,watered,299.6440222276,66.9140525868,72.3710203763,261.1964112718,2885.3210625723,290.6350082701,123.4697839301,,,2013,17.3405902778,17.5525462963,16.5486349607,228.449,316.879,1199.06,-109.290091151,-94.9980633243,32.429509429,33.6507584747,30.938950204,,,,,,,,,,,,,,,,,
8,3078water_regimerainfed,3339414,Mar13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,290.0130374041,65.1989719478,71.1077821484,215.5240823163,2170.3590194223,247.5845855011,104.5185064204,,,2013,17.3405902778,17.5065217391,16.7807617845,228.449,314.936,1224.884,-187.5427189723,-168.4569520431,32.429509429,33.542215728,31.1176476499,,,,,,,,,,,,,,,,,
9,504,3343584,Mar13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,504.0,,24.0,15.0,"REPLICATE>BLOCK>PLOT:504,REPLICATE>BLOCK:36,REPLICATE:2",watered,2346.8954644676,310,"66,1421419741","73,0115533369",7.2753759398,262,295,124,"-6,86941136280",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,36,3343160,Mar13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,36.0,,6.0,7.0,"REPLICATE>BLOCK>PLOT:36,REPLICATE>BLOCK:6,REPLICATE:1",watered,3443.3781252439,289,"67,6265019604","71,6416376017",9.951362782,261,287,121,"-4,01513564130",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,871,3342810,Mar13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,871.0,,17.0,10.0,"REPLICATE>BLOCK>PLOT:871,REPLICATE>BLOCK:17,REPLICATE:2",rainfed,1993.3582328216,288,"64,6062487951","71,6416376017",5.7408717105,215,247,102,"-7,03538880660",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1191,3342510,Mar13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1191.0,,9.0,29.0,"REPLICATE>BLOCK>PLOT:1191,REPLICATE>BLOCK:27,REPLICATE:3",rainfed,2358.6984703137,290,"66,1421419741","70,3112532024",6.8402255639,215,247,107,"-4,16911122830",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,709,3342380,Mar13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,709.0,,6.0,20.0,"REPLICATE>BLOCK>PLOT:709,REPLICATE>BLOCK:30,REPLICATE:1",rainfed,2475.9509066785,289,"64,6062487951","71,6416376017",7.1554981203,218,248,104,"-7,03538880660",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,502,3343582,Mar13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,502.0,,24.0,17.0,"REPLICATE>BLOCK>PLOT:502,REPLICATE>BLOCK:36,REPLICATE:2",watered,1986.5686244299,366,"68,9775284053","68,9775284053",7.2708411654,284,318,143,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,107,3343106,Mar13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,107.0,,4.0,13.0,"REPLICATE>BLOCK>PLOT:107,REPLICATE>BLOCK:16,REPLICATE:1",watered,3735.9510705434,361,"67,6265019604","67,6265019604",13.4867833647,286,312,139,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,984,3342947,Mar13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,984.0,,21.0,18.0,"REPLICATE>BLOCK>PLOT:984,REPLICATE>BLOCK:33,REPLICATE:2",rainfed,2000.4850026135,374,"67,6265019604","73,0115533369",7.4818139098,269,300,120,"-5,38505137650",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1187,3342474,Mar13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1187.0,,8.0,32.0,"REPLICATE>BLOCK>PLOT:1187,REPLICATE>BLOCK:26,REPLICATE:3",rainfed,2385.3661703601,380,"68,9775284053","71,6416376017",9.0643914474,272,307,120,"-2,66410919640",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,574,3342518,Mar13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,574.0,,10.0,1.0,"REPLICATE>BLOCK>PLOT:574,REPLICATE>BLOCK:10,REPLICATE:1",rainfed,3614.5143364363,378,"66,1421419741","71,6416376017",13.6628641917,272,303,131,"-5,49949562760",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3256water_regimerainfed,3339586,Mar13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,377.1259031289,67.6500636085,72.0434448564,270.5603855374,2292.5679513139,303.4461935688,123.6764260766,,,2013,17.3064015152,17.5651709402,16.5486349607,187.496,292.64,1185.169,-184.327991334,-167.2929686522,32.2568803099,33.7028870335,30.938950204,,,,,,,,,,,,,,,,,
20,3256water_regimewatered,3339832,Mar13,127650,https://doi.org/10.15454/I2W4OZ,SGI061_H,MTA_ATK Martonvasar 2013,VIRTUAL_TRIAL,,,,,,,,watered,363.4157377708,68.4623585411,68.261162019,284.1100729391,2867.7000539323,314.0315110013,140.7581370619,,,2013,17.3064015152,17.5284722222,17.2951381462,187.496,240.343,1237.466,-111.9888020027,-92.73495014,32.2568803099,33.5321559369,31.4035171712,,,,,,,,,,,,,,,,,
21,300,3343463,Mar13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,300.0,,19.0,6.0,"REPLICATE>BLOCK>PLOT:300,REPLICATE>BLOCK:7,REPLICATE:2",watered,2570.7315600454,358,"70,3112532024","71,6416376017",9.203218985,284,312,133,"-1,33038439930",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,111,3343110,Mar13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,111.0,,4.0,9.0,"REPLICATE>BLOCK>PLOT:111,REPLICATE>BLOCK:16,REPLICATE:1",watered,2822.413654457,374,"70,3112532024","71,6416376017",10.5558270677,270,305,130,"-1,33038439930",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,928,3342659,Mar13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,928.0,,13.0,18.0,"REPLICATE>BLOCK>PLOT:928,REPLICATE>BLOCK:25,REPLICATE:2",rainfed,1833.3727031483,374,"68,9775284053","71,6416376017",6.8568139098,238,265,105,"-2,66410919640",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1070,3342508,Mar13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1070.0,,9.0,27.0,"REPLICATE>BLOCK>PLOT:1070,REPLICATE>BLOCK:9,REPLICATE:3",rainfed,2469.2607587344,351,"68,9775284053","71,6416376017",8.6671052632,239,265,100,"-2,66410919640",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,750,3342621,Mar13,127651,https://doi.org/10.15454/ZSEK9Q,B14a_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,750.0,,12.0,21.0,"REPLICATE>BLOCK>PLOT:750,REPLICATE>BLOCK:36,REPLICATE:1",rainfed,2218.0861680411,372,"67,6265019604","73,0115533369",8.2512805451,230,260,95,"-5,38505137650",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,270,3343365,Mar13,127652,https://doi.org/10.15454/WPUFWH,F816_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,270.0,,15.0,4.0,"REPLICATE>BLOCK>PLOT:270,REPLICATE>BLOCK:3,REPLICATE:2",watered,2858.9624654308,348,"66,1421419741","70,3112532024",9.9491893797,264,296,126,"-4,16911122830",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,161,3343279,Mar13,127652,https://doi.org/10.15454/WPUFWH,F816_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,161.0,,11.0,14.0,"REPLICATE>BLOCK>PLOT:161,REPLICATE>BLOCK:23,REPLICATE:1",watered,2738.8671280803,346,"66,1421419741","68,9775284053",9.4764802632,278,305,130,"-2,83538643120",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,965,3342857,Mar13,127652,https://doi.org/10.15454/WPUFWH,F816_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,965.0,,18.0,16.0,"REPLICATE>BLOCK>PLOT:965,REPLICATE>BLOCK:30,REPLICATE:2",rainfed,1737.2922139687,332,"63,2119003379","63,2119003379",5.7678101504,253,278,104,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1253,3342838,Mar13,127652,https://doi.org/10.15454/WPUFWH,F816_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1253.0,,17.0,35.0,"REPLICATE>BLOCK>PLOT:1253,REPLICATE>BLOCK:35,REPLICATE:3",rainfed,1588.042459753,333,"63,2119003379","63,2119003379",5.288181391,256,285,109,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,643,3342448,Mar13,127652,https://doi.org/10.15454/WPUFWH,F816_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,643.0,,8.0,9.0,"REPLICATE>BLOCK>PLOT:643,REPLICATE>BLOCK:20,REPLICATE:1",rainfed,2462.2959873248,331,"63,2119003379","63,2119003379",8.150199718,243,274,102,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,409,3343564,Mar13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,409.0,,23.0,10.0,"REPLICATE>BLOCK>PLOT:409,REPLICATE>BLOCK:23,REPLICATE:2",watered,2932.2715928477,357,"67,6265019604","67,6265019604",10.4682095865,255,289,128,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,241,3343283,Mar13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,241.0,,11.0,17.0,"REPLICATE>BLOCK>PLOT:241,REPLICATE>BLOCK:35,REPLICATE:1",watered,3475.3420391154,341,"66,1421419741","68,9775284053",11.8509163534,263,293,128,"-2,83538643120",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,839,3343001,Mar13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,839.0,,24.0,2.0,"REPLICATE>BLOCK>PLOT:839,REPLICATE>BLOCK:12,REPLICATE:2",rainfed,2670.8365923197,298,"68,9775284053","68,9775284053",7.9590930451,241,265,99,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1190,3342470,Mar13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1190.0,,8.0,29.0,"REPLICATE>BLOCK>PLOT:1190,REPLICATE>BLOCK:26,REPLICATE:3",rainfed,3410.500453021,278,"66,1421419741","68,9775284053",9.4811912594,239,265,99,"-2,83538643120",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,577,3342561,Mar13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,577.0,,11.0,3.0,"REPLICATE>BLOCK>PLOT:577,REPLICATE>BLOCK:11,REPLICATE:1",rainfed,3865.4714352846,280,"67,6265019604","70,3112532024",10.8233200188,236,271,93,"-2,68475124200",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,417,3343589,Mar13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,417.0,,24.0,11.0,"REPLICATE>BLOCK>PLOT:417,REPLICATE>BLOCK:24,REPLICATE:2",watered,2931.9355632071,321,"67,6265019604","70,3112532024",9.4115131579,228,256,106,"-2,68475124200",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,246,3343288,Mar13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,246.0,,12.0,21.0,"REPLICATE>BLOCK>PLOT:246,REPLICATE>BLOCK:36,REPLICATE:1",watered,2613.2859527974,331,"67,6265019604","70,3112532024",8.6499765038,218,252,110,"-2,68475124200",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,856,3342729,Mar13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,856.0,,15.0,9.0,"REPLICATE>BLOCK>PLOT:856,REPLICATE>BLOCK:15,REPLICATE:2",rainfed,1581.2439136244,332,"63,2119003379","70,3112532024",5.2497297932,222,255,110,"-7,09935286450",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1232,3342711,Mar13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1232.0,,14.0,29.0,"REPLICATE>BLOCK>PLOT:1232,REPLICATE>BLOCK:32,REPLICATE:3",rainfed,1492.6479278286,334,"63,2119003379","70,3112532024",4.9854440789,218,250,109,"-7,09935286450",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,740,3342537,Mar13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,740.0,,10.0,17.0,"REPLICATE>BLOCK>PLOT:740,REPLICATE>BLOCK:34,REPLICATE:1",rainfed,2871.9503837719,336,"64,6062487951","68,9775284053",9.6497532895,216,246,108,"-4,37127961020",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,355,3343374,Mar13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,355.0,,15.0,12.0,"REPLICATE>BLOCK>PLOT:355,REPLICATE>BLOCK:15,REPLICATE:2",watered,2866.2651326978,336,"70,3112532024","70,3112532024",9.6306508459,277,311,144,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,187,3343093,Mar13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,187.0,,3.0,19.0,"REPLICATE>BLOCK>PLOT:187,REPLICATE>BLOCK:27,REPLICATE:1",watered,2494.7081780698,341,"68,9775284053","71,6416376017",8.5069548872,275,303,137,"-2,66410919640",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,791,3342806,Mar13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,791.0,,17.0,7.0,"REPLICATE>BLOCK>PLOT:791,REPLICATE>BLOCK:5,REPLICATE:2",rainfed,1529.3167650138,395,"66,1421419741","71,6416376017",6.0408012218,231,260,98,"-5,49949562760",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1201,3342554,Mar13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,1201.0,,10.0,32.0,"REPLICATE>BLOCK>PLOT:1201,REPLICATE>BLOCK:28,REPLICATE:3",rainfed,1498.0513784461,375,"67,6265019604","70,3112532024",5.6176926692,234,268,88,"-2,68475124200",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,527,3342284,Mar13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT,,,527.0,,4.0,6.0,"REPLICATE>BLOCK>PLOT:527,REPLICATE>BLOCK:4,REPLICATE:1",rainfed,2042.657549792,376,"66,1421419741","70,3112532024",7.6803923872,231,261,96,"-4,16911122830",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,10,3342155,Mar13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,10.0,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,75,77,66,7,7.5,8,,,,,,,,,,
47,8,3342151,Mar13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,,,,,,,76,75,72,7.7,7.2,7.2,,,,
48,3,3342148,Mar13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,70,77,71,7.5,7.8,8,,,,
49,6,3342150,Mar13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,6.0,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,80,84,79,7.2,7.5,7.8,,,,
50,9,3342154,Mar13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,78,74,55,6.5,6.5,6,,,,,,,,,,
51,5,3342152,Mar13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,76,84,68,7.8,8.2,8,,,,,,,,,,
52,2,3342147,Mar13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,82,81,77,7.8,8.2,8,,,,
53,4,3342149,Mar13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,70,87,71,7.8,8,8.5,,,,
54,1,3342143,Mar13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,15,76,77,,8.2,8,,,,,,,,72,7.2,,
55,7,3342153,Mar13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:1022,REPLICATE>BLOCK:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,18,71,81,69,6.5,7,7.5,,,,,,,,,,
56,10,3342142,Mar13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,10.0,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:905,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,18,,,,,,,,78,84,,7,8,,,79,7.8
57,8,3342140,Mar13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:905,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,17,72,89,75,7.5,8.3,7.2,,,,,,,,,,
58,3,3342130,Mar13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:905,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,73,78,72,6.8,7.8,7,,,,
59,6,3342134,Mar13,127400,https://doi.org/10.15454/P5UIAJ,B73_H,MTA_ATK Martonvasar 2013,REPLICATE>BLOCK>PLOT>PLANT,,,,6.0,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:905,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2013,,,,,,,,,,,,16,,,,,,,79,91,79,7.2,8.8,8.7,,,,
